,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.verified,venue.stats.tipCount,venue.stats.usersCount,venue.stats.checkinsCount,venue.stats.visitsCount,venue.beenHere.count,venue.beenHere.lastCheckinExpiredAt,venue.beenHere.marked,venue.beenHere.unconfirmedCount,venue.photos.count,venue.photos.groups,venue.hereNow.count,venue.hereNow.summary,venue.hereNow.groups,venue.location.crossStreet,venue.location.neighborhood,venue.venuePage.id
10,e-0-4b1082abf964a520fc7123e3-10,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b1082abf964a520fc7123e3,Heartbreak Hotel,Fehrfeld 30,53.0745979268713,8.826310133038415,"[{'label': 'display', 'lat': 53.0745979268713, 'lng': 8.826310133038415}]",1287,28203,DE,Bremen,Bremen,Deutschland,"['Fehrfeld 30', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
11,e-0-4c6c1cc065eda0930d004bd0-11,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c6c1cc065eda0930d004bd0,Taubenschlag,Auf dem Peterswerder 6,53.06942690131985,8.83727268348213,"[{'label': 'display', 'lat': 53.06942690131985, 'lng': 8.83727268348213}]",2135,28205,DE,Bremen,Bremen,Deutschland,"['Auf dem Peterswerder 6', '28205 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
12,e-0-4c535a92a724e21e0f9598f4-12,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c535a92a724e21e0f9598f4,Spitzen Gebel,Hinter dem Schütting 1,53.07517787170105,8.806674051896378,"[{'label': 'display', 'lat': 53.07517787170105, 'lng': 8.806674051896378}]",78,28195,DE,Bremen,Bremen,Deutschland,"['Hinter dem Schütting 1', '28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
13,e-0-4c7fd1b00f13a14302a36a0d-13,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c7fd1b00f13a14302a36a0d,Leopold's,Kirchbachstraße 182,53.08263124108085,8.854898034706608,"[{'label': 'display', 'lat': 53.08263124108085, 'lng': 8.854898034706608}]",3280,28211,DE,Bremen,Bremen,Deutschland,"['Kirchbachstraße 182 (Kurfürstenallee)', '28211 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Kurfürstenallee,,
14,e-0-4c7582d7db52b1f7aaf578dc-14,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c7582d7db52b1f7aaf578dc,Maerz,Sielwall 29,53.07169074084888,8.823463633131778,"[{'label': 'display', 'lat': 53.07169074084888, 'lng': 8.823463633131778}]",1182,28203,DE,Bremen,Bremen,Deutschland,"['Sielwall 29 (Körnerwall)', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Körnerwall,,
15,e-0-4bf93472508c0f47d91b3f31-15,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bf93472508c0f47d91b3f31,Schauburg,Vor dem Steintor 114,53.07203743510727,8.8294018845487,"[{'label': 'display', 'lat': 53.07203743510727, 'lng': 8.8294018845487}]",1545,28203,DE,Bremen,Bremen,Deutschland,"['Vor dem Steintor 114 (Horner Str.)', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d17e941735', 'name': 'Indie Movie Theater', 'pluralName': 'Indie Movie Theaters', 'shortName': 'Indie Movies', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],Horner Str.,,
16,e-0-4b6741a3f964a52034442be3-16,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b6741a3f964a52034442be3,Eisen,Sielwall 9,53.0724743377021,8.823334009981876,"[{'label': 'display', 'lat': 53.0724743377021, 'lng': 8.823334009981876}]",1143,28203,DE,Bremen,Bremen,Deutschland,"['Sielwall 9', '28203 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d11b941735', 'name': 'Pub', 'pluralName': 'Pubs', 'shortName': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],1,One other person is here,"[{'type': 'others', 'name': 'Other people here', 'count': 1, 'items': []}]",,,
17,e-0-4ca0edf43244b21a3f3f3703-17,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ca0edf43244b21a3f3f3703,Hendrix,,53.080349009197626,8.809721014624524,"[{'label': 'display', 'lat': 53.080349009197626, 'lng': 8.809721014624524}]",532,28195,DE,Bremen,Bremen,Deutschland,"['28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
18,e-0-509d41f6e4b0d459db74de1e-18,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",509d41f6e4b0d459db74de1e,Gastfeld,Gastfeldstr. 67,53.064025,8.797645,"[{'label': 'display', 'lat': 53.064025, 'lng': 8.797645}]",1459,28201,DE,Bremen,Bremen,Deutschland,"['Gastfeldstr. 67', '28201 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d11b941735', 'name': 'Pub', 'pluralName': 'Pubs', 'shortName': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
19,e-0-4c447989dcd61b8de65b7b56-19,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c447989dcd61b8de65b7b56,Meisenfrei,Hankenstr. 18,53.07995787848005,8.800445612167383,"[{'label': 'display', 'lat': 53.07995787848005, 'lng': 8.800445612167383}]",643,28195,DE,Bremen,Bremen,Deutschland,"['Hankenstr. 18', '28195 Bremen', 'Deutschland']","[{'id': '4bf58dd8d48988d116941735', 'name': 'Bar', 'pluralName': 'Bars', 'shortName': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}, 'primary': True}]",False,0,0,0,0,0,0,False,0,0,[],0,Nobody here,[],,,
