Date,Count
2015-12-21,36
2015-12-22,27
2015-12-23,29
2015-12-24,14
2015-12-25,10
2015-12-26,8
2015-12-27,7
2015-12-28,12
2015-12-29,17
2015-12-30,17
2015-12-31,17
2016-01-01,13
2016-01-02,9
2016-01-03,45
2016-01-04,21
2016-01-05,28
2016-01-06,18
2016-01-07,16
2016-01-08,25
2016-01-09,13
2016-01-10,2
2016-01-11,28
2016-01-12,19
2016-01-13,36
2016-01-14,27
2016-01-15,19
2016-01-16,19
2016-01-17,9
2016-01-18,26
2016-01-19,24
2016-01-20,20
2016-01-21,19
2016-01-22,21
2016-01-23,17
2016-01-24,9
2016-01-25,22
2016-01-26,28
2016-01-27,17
2016-01-28,27
2016-01-29,21
2016-01-30,15
2016-01-31,6
2016-02-01,25
2016-02-02,27
2016-02-03,32
2016-02-04,24
2016-02-05,26
2016-02-06,18
2016-02-07,10
2016-02-08,28
2016-02-09,35
2016-02-10,27
2016-02-11,36
2016-02-12,27
2016-02-13,16
2016-02-14,13
2016-02-15,20
2016-02-16,28
2016-02-17,23
2016-02-18,27
2016-02-19,31
2016-02-20,9
2016-02-21,9
2016-02-22,19
2016-02-23,30
2016-02-24,25
2016-02-25,43
2016-02-26,37
2016-02-27,12
2016-02-28,13
2016-02-29,30
2016-03-01,30
2016-03-02,34
2016-03-03,27
2016-03-04,32
2016-03-05,14
2016-03-06,9
2016-03-07,23
2016-03-08,18
2016-03-09,30
2016-03-10,18
2016-03-11,26
2016-03-12,15
2016-03-13,8
2016-03-14,17
2016-03-15,32
2016-03-16,19
2016-03-17,41
2016-03-18,14
2016-03-19,15
2016-03-20,12
2016-03-21,33
2016-03-22,18
2016-03-23,31
2016-03-24,21
2016-03-25,11
2016-03-26,16
2016-03-27,5
2016-03-28,7
2016-03-29,31
2016-03-30,29
2016-03-31,19
2016-04-01,25
2016-04-02,17
2016-04-03,13
2016-04-04,26
2016-04-05,43
2016-04-06,33
2016-04-07,29
2016-04-08,23
2016-04-09,14
2016-04-10,17
2016-04-11,29
2016-04-12,25
2016-04-13,27
2016-04-14,30
2016-04-15,41
2016-04-16,20
2016-04-17,15
2016-04-18,25
2016-04-19,25
2016-04-20,21
2016-04-21,20
2016-04-22,27
2016-04-23,15
2016-04-24,9
2016-04-25,33
2016-04-26,22
2016-04-27,21
2016-04-28,33
2016-04-29,23
2016-04-30,19
2016-05-01,4
2016-05-02,33
2016-05-03,31
2016-05-04,26
2016-05-05,10
2016-05-06,36
2016-05-07,15
2016-05-08,13
2016-05-09,29
2016-05-10,34
2016-05-11,34
2016-05-12,40
2016-05-13,36
2016-05-14,11
2016-05-15,7
2016-05-16,5
2016-05-17,22
2016-05-18,18
2016-05-19,18
2016-05-20,9
2016-05-21,12
2016-05-22,3
2016-05-23,3
2016-05-26,20
2016-05-27,35
2016-05-28,11
2016-05-29,17
2016-05-30,36
2016-05-31,32
2016-06-01,31
2016-06-02,24
2016-06-03,33
2016-06-04,23
2016-06-05,12
2016-06-06,31
2016-06-07,23
2016-06-08,27
2016-06-09,28
2016-06-10,28
2016-06-11,14
2016-06-12,9
2016-06-13,29
2016-06-14,32
2016-06-15,32
2016-06-16,38
2016-06-17,27
2016-06-18,11
2016-06-19,10
2016-06-20,30
2016-06-21,29
2016-06-22,26
2016-06-23,31
2016-06-24,38
2016-06-25,13
2016-06-26,11
2016-06-27,25
2016-06-28,17
2016-06-29,26
2016-06-30,11
2016-07-01,21
2016-07-02,23
2016-07-03,7
2016-07-04,18
2016-07-05,16
2016-07-06,21
2016-07-07,19
2016-07-08,22
2016-07-09,12
2016-07-10,5
2016-07-11,27
2016-07-12,20
2016-07-13,25
2016-07-14,19
2016-07-15,17
2016-07-16,11
2016-07-17,5
2016-07-18,22
2016-07-19,20
2016-07-20,22
2016-07-21,25
2016-07-22,18
2016-07-23,12
2016-07-24,11
2016-07-25,19
2016-07-26,18
2016-07-27,21
2016-07-28,22
2016-07-29,30
2016-07-30,18
2016-07-31,14
2016-08-01,31
2016-08-02,26
2016-08-03,37
2016-08-04,23
2016-08-05,27
2016-08-06,16
2016-08-07,11
2016-08-08,22
2016-08-09,28
2016-08-10,30
2016-08-11,30
2016-08-12,39
2016-08-13,11
2016-08-14,11
2016-08-15,27
2016-08-16,25
2016-08-17,30
2016-08-18,25
2016-08-19,33
2016-08-20,9
2016-08-21,6
2016-08-22,25
2016-08-23,24
2016-08-24,30
2016-08-25,33
2016-08-26,32
2016-08-27,9
2016-08-28,12
2016-08-29,36
2016-08-30,23
2016-08-31,39
2016-09-01,22
2016-09-02,36
2016-09-03,21
2016-09-04,19
2016-09-05,22
2016-09-06,30
2016-09-07,41
2016-09-08,38
2016-09-09,27
2016-09-10,19
2016-09-11,10
2016-09-12,30
2016-09-13,27
2016-09-14,29
2016-09-15,29
2016-09-16,20
2016-09-17,13
2016-09-18,6
2016-09-19,28
2016-09-20,24
2016-09-21,28
2016-09-22,15
2016-09-23,24
2016-09-24,11
2016-09-25,7
2016-09-26,33
2016-09-27,34
2016-09-28,24
2016-09-29,24
2016-09-30,36
2016-10-01,15
2016-10-02,8
2016-10-03,7
2016-10-04,43
2016-10-05,16
2016-10-06,23
2016-10-07,19
2016-10-08,20
2016-10-09,14
2016-10-10,19
2016-10-11,26
2016-10-12,18
2016-10-13,21
2016-10-14,30
2016-10-15,27
2016-10-16,11
2016-10-17,26
2016-10-18,26
2016-10-19,32
2016-10-20,47
2016-10-21,44
2016-10-22,20
2016-10-23,11
2016-10-24,27
2016-10-25,39
2016-10-26,21
2016-10-27,23
2016-10-28,49
2016-10-29,25
2016-10-30,15
2016-10-31,41
2016-11-01,39
2016-11-02,47
2016-11-03,27
2016-11-04,31
2016-11-05,18
2016-11-06,15
2016-11-07,35
2016-11-08,22
2016-11-09,20
2016-11-10,23
2016-11-11,31
2016-11-12,11
2016-11-13,11
2016-11-14,29
2016-11-15,23
2016-11-16,23
2016-11-17,32
2016-11-18,34
2016-11-19,23
2016-11-20,11
2016-11-21,39
2016-11-22,17
2016-11-23,22
2016-11-24,30
2016-11-25,35
2016-11-26,23
2016-11-27,4
2016-11-28,33
2016-11-29,46
2016-11-30,26
2016-12-01,39
2016-12-02,45
2016-12-03,24
2016-12-04,11
2016-12-05,48
2016-12-06,30
2016-12-07,24
2016-12-08,30
2016-12-09,30
2016-12-10,24
2016-12-11,11
2016-12-12,39
2016-12-13,32
2016-12-14,36
2016-12-15,25
2016-12-16,23
2016-12-17,15
2016-12-18,11
2016-12-19,15
2016-12-20,30
2016-12-21,28
2016-12-22,32
2016-12-23,20
2016-12-24,7
2016-12-25,6
2016-12-26,12
2016-12-27,15
2016-12-28,18
2016-12-29,13
2016-12-30,12
2016-12-31,3
2017-01-01,3
2017-01-02,24
2017-01-03,34
2017-01-04,12
2017-01-05,20
2017-01-06,28
2017-01-07,56
2017-01-08,8
2017-01-09,17
2017-01-10,25
2017-01-11,20
2017-01-12,30
2017-01-13,28
2017-01-14,17
2017-01-15,11
2017-01-16,22
2017-01-17,22
2017-01-18,17
2017-01-19,39
2017-01-20,27
2017-01-21,10
2017-01-22,13
2017-01-23,29
