Date,Count
12/21/2015,36
12/22/2015,27
12/23/2015,29
12/24/2015,14
12/25/2015,10
12/26/2015,8
12/27/2015,7
12/28/2015,12
12/29/2015,17
12/30/2015,17
12/31/2015,17
1/1/2016,13
1/2/2016,9
1/3/2016,45
1/4/2016,21
1/5/2016,28
1/6/2016,18
1/7/2016,16
1/8/2016,25
1/9/2016,13
1/10/2016,2
1/11/2016,28
1/12/2016,19
1/13/2016,36
1/14/2016,27
1/15/2016,19
1/16/2016,19
1/17/2016,9
1/18/2016,26
1/19/2016,24
1/20/2016,20
1/21/2016,19
1/22/2016,21
1/23/2016,17
1/24/2016,9
1/25/2016,22
1/26/2016,28
1/27/2016,17
1/28/2016,27
1/29/2016,21
1/30/2016,15
1/31/2016,6
2/1/2016,25
2/2/2016,27
2/3/2016,32
2/4/2016,24
2/5/2016,26
2/6/2016,18
2/7/2016,10
2/8/2016,28
2/9/2016,35
2/10/2016,27
2/11/2016,36
2/12/2016,27
2/13/2016,16
2/14/2016,13
2/15/2016,20
2/16/2016,28
2/17/2016,23
2/18/2016,27
2/19/2016,31
2/20/2016,9
2/21/2016,9
2/22/2016,19
2/23/2016,30
2/24/2016,25
2/25/2016,43
2/26/2016,37
2/27/2016,12
2/28/2016,13
2/29/2016,30
3/1/2016,30
3/2/2016,34
3/3/2016,27
3/4/2016,32
3/5/2016,14
3/6/2016,9
3/7/2016,23
3/8/2016,18
3/9/2016,30
3/10/2016,18
3/11/2016,26
3/12/2016,15
3/13/2016,8
3/14/2016,17
3/15/2016,32
3/16/2016,19
3/17/2016,41
3/18/2016,14
3/19/2016,15
3/20/2016,12
3/21/2016,33
3/22/2016,18
3/23/2016,31
3/24/2016,21
3/25/2016,11
3/26/2016,16
3/27/2016,5
3/28/2016,7
3/29/2016,31
3/30/2016,29
3/31/2016,19
4/1/2016,25
4/2/2016,17
4/3/2016,13
4/4/2016,26
4/5/2016,43
4/6/2016,33
4/7/2016,29
4/8/2016,23
4/9/2016,14
4/10/2016,17
4/11/2016,29
4/12/2016,25
4/13/2016,27
4/14/2016,30
4/15/2016,41
4/16/2016,20
4/17/2016,15
4/18/2016,25
4/19/2016,25
4/20/2016,21
4/21/2016,20
4/22/2016,27
4/23/2016,15
4/24/2016,9
4/25/2016,33
4/26/2016,22
4/27/2016,21
4/28/2016,33
4/29/2016,23
4/30/2016,19
5/1/2016,4
5/2/2016,33
5/3/2016,31
5/4/2016,26
5/5/2016,10
5/6/2016,36
5/7/2016,15
5/8/2016,13
5/9/2016,29
5/10/2016,34
5/11/2016,34
5/12/2016,40
5/13/2016,36
5/14/2016,11
5/15/2016,7
5/16/2016,5
5/17/2016,22
5/18/2016,18
5/19/2016,18
5/20/2016,9
5/21/2016,12
5/22/2016,3
5/23/2016,3
5/26/2016,20
5/27/2016,35
5/28/2016,11
5/29/2016,17
5/30/2016,36
5/31/2016,32
6/1/2016,31
6/2/2016,24
6/3/2016,33
6/4/2016,23
6/5/2016,12
6/6/2016,31
6/7/2016,23
6/8/2016,27
6/9/2016,28
6/10/2016,28
6/11/2016,14
6/12/2016,9
6/13/2016,29
6/14/2016,32
6/15/2016,32
6/16/2016,38
6/17/2016,27
6/18/2016,11
6/19/2016,10
6/20/2016,30
6/21/2016,29
6/22/2016,26
6/23/2016,31
6/24/2016,38
6/25/2016,13
6/26/2016,11
6/27/2016,25
6/28/2016,17
6/29/2016,26
6/30/2016,11
7/1/2016,21
7/2/2016,23
7/3/2016,7
7/4/2016,18
7/5/2016,16
7/6/2016,21
7/7/2016,19
7/8/2016,22
7/9/2016,12
7/10/2016,5
7/11/2016,27
7/12/2016,20
7/13/2016,25
7/14/2016,19
7/15/2016,17
7/16/2016,11
7/17/2016,5
7/18/2016,22
7/19/2016,20
7/20/2016,22
7/21/2016,25
7/22/2016,18
7/23/2016,12
7/24/2016,11
7/25/2016,19
7/26/2016,18
7/27/2016,21
7/28/2016,22
7/29/2016,30
7/30/2016,18
7/31/2016,14
8/1/2016,31
8/2/2016,26
8/3/2016,37
8/4/2016,23
8/5/2016,27
8/6/2016,16
8/7/2016,11
8/8/2016,22
8/9/2016,28
8/10/2016,30
8/11/2016,30
8/12/2016,39
8/13/2016,11
8/14/2016,11
8/15/2016,27
8/16/2016,25
8/17/2016,30
8/18/2016,25
8/19/2016,33
8/20/2016,9
8/21/2016,6
8/22/2016,25
8/23/2016,24
8/24/2016,30
8/25/2016,33
8/26/2016,32
8/27/2016,9
8/28/2016,12
8/29/2016,36
8/30/2016,23
8/31/2016,39
9/1/2016,22
9/2/2016,36
9/3/2016,21
9/4/2016,19
9/5/2016,22
9/6/2016,30
9/7/2016,41
9/8/2016,38
9/9/2016,27
9/10/2016,19
9/11/2016,10
9/12/2016,30
9/13/2016,27
9/14/2016,29
9/15/2016,29
9/16/2016,20
9/17/2016,13
9/18/2016,6
9/19/2016,28
9/20/2016,24
9/21/2016,28
9/22/2016,15
9/23/2016,24
9/24/2016,11
9/25/2016,7
9/26/2016,33
9/27/2016,34
9/28/2016,24
9/29/2016,24
9/30/2016,36
10/1/2016,15
10/2/2016,8
10/3/2016,7
10/4/2016,43
10/5/2016,16
10/6/2016,23
10/7/2016,19
10/8/2016,20
10/9/2016,14
10/10/2016,19
10/11/2016,26
10/12/2016,18
10/13/2016,21
10/14/2016,30
10/15/2016,27
10/16/2016,11
10/17/2016,26
10/18/2016,26
10/19/2016,32
10/20/2016,47
10/21/2016,44
10/22/2016,20
10/23/2016,11
10/24/2016,27
10/25/2016,39
10/26/2016,21
10/27/2016,23
10/28/2016,49
10/29/2016,25
10/30/2016,15
10/31/2016,41
11/1/2016,39
11/2/2016,47
11/3/2016,27
11/4/2016,31
11/5/2016,18
11/6/2016,15
11/7/2016,35
11/8/2016,22
11/9/2016,20
11/10/2016,23
11/11/2016,31
11/12/2016,11
11/13/2016,11
11/14/2016,29
11/15/2016,23
11/16/2016,23
11/17/2016,32
11/18/2016,34
11/19/2016,23
11/20/2016,11
11/21/2016,39
11/22/2016,17
11/23/2016,22
11/24/2016,30
11/25/2016,35
11/26/2016,23
11/27/2016,4
11/28/2016,33
11/29/2016,46
11/30/2016,26
12/1/2016,39
12/2/2016,45
12/3/2016,24
12/4/2016,11
12/5/2016,48
12/6/2016,30
12/7/2016,24
12/8/2016,30
12/9/2016,30
12/10/2016,24
12/11/2016,11
12/12/2016,39
12/13/2016,32
12/14/2016,36
12/15/2016,25
12/16/2016,23
12/17/2016,15
12/18/2016,11
12/19/2016,15
12/20/2016,30
12/21/2016,28
12/22/2016,32
12/23/2016,20
12/24/2016,7
12/25/2016,6
12/26/2016,12
12/27/2016,15
12/28/2016,18
12/29/2016,13
12/30/2016,12
12/31/2016,3
1/1/2017,3
1/2/2017,24
1/3/2017,34
1/4/2017,12
1/5/2017,20
1/6/2017,28
