SN,District,Imperial_Circle,Community,Year,Month,Weekday,Hour,Road,Cycle,Car,Pedestrians,Motorcycle,Goods Vehicle,Others,Total,Collision Type,Accident Type,Light Condition,Road Condition,Accident_Severity,Tend_to_Death
133,1,12,130,2016,3,4,11,0,0,1,0,0,1,0,2,3,6,0,3,3,0
134,1,12,130,2016,2,2,13,1,0,1,0,0,1,0,3,3,6,0,3,3,0
135,2,5,216,2016,2,2,14,1,0,1,0,0,0,0,2,1,2,0,3,3,0
136,3,7,319,2016,4,6,13,0,0,1,0,0,0,1,2,3,2,0,3,3,0
137,1,6,115,2016,1,4,17,0,0,1,0,0,1,0,2,3,6,2,3,3,0
138,2,9,221,2016,3,5,10,0,0,0,0,0,1,0,1,2,6,0,3,3,0
139,1,12,130,2016,2,3,14,1,0,1,0,0,1,0,3,2,6,0,3,3,0
140,3,9,321,2016,4,2,8,0,0,1,0,0,1,0,2,3,6,0,3,3,0
141,3,9,321,2016,1,6,19,1,0,1,0,0,0,0,2,1,6,2,3,3,0
142,3,5,317,2016,2,6,18,0,0,1,0,0,0,1,2,5,2,1,3,3,0
143,3,6,318,2016,3,3,8,0,1,1,0,0,0,0,2,5,3,0,3,3,0
144,3,8,320,2016,1,3,16,0,0,1,1,0,0,0,2,6,4,1,3,2,1
145,3,4,316,2016,3,5,14,0,0,0,0,0,1,1,2,5,3,0,3,3,0
146,3,4,316,2016,3,3,20,1,0,1,0,0,0,1,3,5,7,2,3,3,0
147,2,5,217,2016,1,7,12,1,0,1,1,0,0,0,3,6,7,0,3,3,0
148,4,5,409,2016,2,7,14,1,0,1,0,0,0,1,3,0,7,0,3,3,0
149,1,8,124,2016,4,3,14,1,0,1,0,0,0,0,2,5,3,0,3,3,0
150,1,6,115,2016,1,3,15,1,0,1,0,0,0,1,3,1,6,0,3,3,0
151,4,6,414,2016,3,3,14,0,0,1,0,0,0,0,1,2,6,0,3,3,0
152,2,13,226,2016,2,3,16,0,0,1,1,0,0,0,2,6,4,1,3,3,0
153,3,9,321,2016,1,6,16,1,0,1,0,0,0,0,2,5,3,1,3,3,0
154,1,1,102,2016,3,3,17,1,0,1,0,0,0,0,2,2,6,0,3,3,0
155,1,8,124,2016,2,5,15,1,0,1,0,0,0,0,2,5,3,0,3,3,0
156,7,10,711,2016,3,7,14,0,0,1,0,0,0,0,1,2,6,0,3,3,0
157,3,7,319,2016,1,1,15,1,0,1,0,0,0,0,2,2,6,0,3,3,0
158,1,19,140,2016,3,4,6,0,0,1,0,0,0,0,1,1,6,1,3,3,0
159,7,2,703,2016,2,6,6,1,0,1,0,0,1,0,3,3,6,2,3,3,0
160,2,6,218,2016,1,5,17,0,0,1,1,0,0,0,2,6,4,0,3,3,0
161,3,7,319,2016,2,6,15,0,0,1,0,0,0,0,1,1,6,0,3,3,0
162,2,5,215,2016,4,2,8,1,0,1,0,0,1,1,4,1,6,0,3,3,0
163,3,5,317,2016,1,3,0,0,0,1,0,0,0,0,1,9,7,2,3,3,0
164,3,1,306,2016,3,2,9,1,0,1,0,0,0,0,2,3,7,0,3,3,0
165,3,8,320,2016,2,2,8,1,0,1,0,0,0,0,2,2,6,0,3,3,0
166,2,5,216,2016,1,5,22,2,0,1,0,0,0,0,3,4,2,2,3,3,0
167,7,14,715,2016,3,7,12,1,0,1,0,0,0,0,2,2,6,0,3,3,0
168,1,1,102,2016,2,5,8,0,0,1,0,0,0,0,1,3,6,0,3,3,0
169,3,1,305,2016,1,3,13,0,0,1,0,0,0,0,1,4,2,0,3,3,0
170,2,9,221,2016,2,2,15,0,0,1,0,0,0,0,1,3,2,0,3,3,0
171,1,14,132,2016,2,5,19,1,0,1,0,0,0,0,2,1,6,2,3,3,0
172,1,1,102,2016,1,4,7,1,0,0,1,0,1,0,3,6,2,2,3,3,0
173,2,5,216,2016,2,4,9,0,0,1,0,0,0,0,1,5,3,0,3,3,0
174,1,16,136,2016,4,6,17,0,0,1,0,0,0,0,1,2,6,0,3,3,0
175,1,12,130,2016,1,2,7,2,0,1,0,0,0,0,3,2,6,1,3,3,0
176,1,6,115,2016,3,6,17,0,0,1,0,0,0,0,1,2,6,1,3,3,0
177,1,6,117,2016,2,6,20,1,0,1,0,0,1,0,3,4,2,2,3,3,0
178,2,5,216,2016,1,4,14,0,0,1,0,0,0,0,1,4,6,0,3,3,0
179,2,5,216,2016,3,7,12,1,0,1,0,0,0,1,3,3,2,0,3,3,0
180,4,7,417,2016,2,4,10,1,1,1,0,0,0,0,3,5,3,0,3,3,0
181,6,10,611,2016,4,2,6,0,0,1,0,0,0,1,2,1,6,0,3,3,0
182,7,10,711,2016,1,6,13,0,0,1,0,0,0,0,1,5,3,0,3,3,0
183,1,8,124,2016,2,7,19,0,0,1,0,0,0,0,1,2,2,2,3,3,0
184,7,9,710,2016,3,3,7,0,1,1,0,0,0,0,2,5,3,0,3,3,0
185,2,13,226,2016,1,5,20,1,1,1,0,0,0,0,3,5,2,2,3,3,0
186,3,9,321,2016,3,6,5,0,0,1,0,0,0,0,1,2,6,0,3,3,0
187,3,9,321,2016,3,5,15,0,0,1,0,0,0,0,1,3,6,0,3,3,0
188,7,14,715,2016,1,6,16,0,0,1,0,0,0,0,1,2,6,0,3,3,0
189,2,5,216,2016,3,3,19,0,0,1,0,0,0,0,1,2,6,2,3,2,1
190,2,5,215,2016,2,4,21,0,0,1,0,0,0,0,1,5,3,2,3,3,0
191,6,9,610,2016,1,6,1,2,0,1,0,0,0,0,3,2,6,2,3,3,0
192,6,1,601,2016,3,5,7,1,0,1,0,0,0,0,2,2,6,0,3,3,0
193,4,3,406,2016,2,3,7,0,0,1,0,0,0,0,1,3,6,0,3,3,0
194,1,8,124,2016,4,7,22,0,0,1,0,0,0,0,1,4,2,2,3,2,1
195,7,14,715,2016,1,5,17,0,0,1,0,0,0,0,1,3,6,2,3,3,0
196,3,9,321,2016,3,6,19,1,0,1,0,0,0,0,2,3,6,2,3,3,0
197,6,2,603,2016,2,5,21,1,0,1,0,1,0,0,3,5,3,2,3,3,0
198,4,7,416,2016,3,2,9,0,0,1,0,0,0,0,1,5,3,0,3,3,0
199,7,8,709,2016,1,2,19,1,0,1,0,0,0,0,2,4,2,2,3,3,0
200,7,14,715,2016,3,4,6,1,0,1,0,0,0,0,2,4,6,0,3,3,0
201,1,3,107,2016,3,3,20,1,0,1,1,0,0,0,3,6,4,2,3,2,1
202,4,4,407,2016,1,6,8,0,1,1,0,0,0,0,2,5,3,0,3,3,0
203,7,11,712,2016,2,6,9,0,0,1,0,0,1,0,2,2,6,0,3,3,0
204,3,7,319,2016,4,3,9,0,0,1,0,0,0,0,1,5,2,0,3,3,0
205,7,9,710,2016,3,3,8,0,0,1,0,0,0,0,1,2,6,0,3,3,0
206,4,5,409,2016,2,2,17,0,0,1,1,0,0,0,2,6,2,1,3,3,0
207,3,5,317,2016,2,2,20,1,0,0,0,1,0,0,2,0,1,2,3,3,0
208,3,7,319,2016,4,4,21,1,0,1,0,0,0,0,2,5,2,1,3,3,0
209,3,1,304,2016,1,4,9,1,0,1,0,0,0,0,2,1,2,0,3,3,0
210,2,5,215,2016,3,5,8,0,1,0,0,0,0,0,1,4,6,0,3,3,0
211,3,4,316,2016,2,5,12,1,1,1,0,0,0,0,3,3,2,0,3,3,0
212,1,8,121,2016,1,7,14,1,0,1,0,0,0,0,2,4,2,0,3,3,0
213,7,10,711,2016,3,3,17,1,0,1,0,0,0,1,3,1,6,0,3,3,0
214,2,5,216,2016,2,6,15,0,0,1,0,0,0,0,1,2,6,0,3,3,0
215,7,1,702,2016,1,4,17,0,0,1,0,0,1,0,2,2,6,2,3,3,0
216,4,6,415,2016,2,5,14,0,0,1,0,0,1,0,2,3,6,0,3,3,0
217,6,9,610,2016,4,1,17,0,0,1,0,0,0,0,1,0,7,0,3,3,0
218,7,10,711,2016,1,2,17,0,0,1,0,0,0,0,1,3,6,2,3,3,0
219,4,7,416,2016,3,7,12,0,0,1,0,0,0,0,1,2,6,0,3,3,0
220,2,6,218,2016,2,2,8,1,0,1,0,0,1,0,3,2,6,0,3,3,0
221,1,16,137,2016,1,4,9,2,0,1,0,0,0,0,3,9,1,0,3,3,0
222,1,12,130,2016,3,7,21,1,0,1,0,0,0,0,2,2,6,2,3,3,0
223,3,9,321,2016,1,3,17,1,0,1,0,0,0,1,3,2,6,2,3,3,0
224,3,7,319,2016,3,3,13,0,0,1,0,0,0,0,1,3,6,0,3,3,0
225,1,6,115,2016,2,2,12,0,0,1,0,0,1,0,2,3,6,0,3,3,0
226,1,6,117,2016,1,5,7,2,0,1,0,0,0,0,3,2,6,1,3,3,0
227,3,9,321,2016,3,2,12,0,0,1,0,0,0,0,1,1,6,0,3,3,0
228,1,19,140,2016,2,5,7,2,0,1,0,0,0,0,3,0,1,0,3,3,0
229,1,16,136,2016,1,3,7,0,0,1,0,0,1,0,2,3,6,2,3,3,0
230,7,8,709,2016,2,3,3,0,0,0,0,0,1,0,1,2,6,2,3,2,1
231,1,16,136,2016,4,6,11,0,0,1,0,0,0,0,1,3,6,0,3,2,1
232,3,9,321,2016,1,1,18,0,0,1,0,0,0,0,1,5,3,2,3,3,0
233,2,6,218,2016,3,4,16,0,1,1,0,0,0,0,2,5,3,0,3,3,0
234,2,1,206,2016,2,6,13,1,0,1,0,0,1,0,3,3,6,0,3,3,0
235,1,7,119,2016,1,2,5,0,0,1,0,0,0,0,1,1,6,2,3,3,0
236,3,1,306,2016,3,7,10,1,0,1,0,0,0,0,2,0,7,0,3,3,0
237,7,9,710,2016,2,3,7,0,0,1,0,0,1,0,2,3,6,0,3,3,0
238,1,12,130,2016,4,2,14,0,0,1,0,0,0,0,1,1,6,0,3,3,0
239,1,11,129,2016,2,4,2,1,0,1,0,0,0,0,2,2,6,2,3,3,0
240,7,13,714,2016,1,7,13,1,0,1,0,0,0,0,2,2,6,0,3,3,0
241,4,6,415,2016,2,1,19,1,1,1,0,0,0,0,3,3,6,2,3,3,0
242,7,10,711,2016,3,4,15,1,0,1,0,0,0,0,2,5,3,0,3,3,0
243,3,1,307,2016,1,6,21,0,0,1,1,0,0,0,2,6,4,2,3,3,0
244,4,5,412,2016,3,2,14,0,1,1,0,0,0,0,2,5,2,0,3,3,0
245,1,12,130,2016,2,3,7,0,0,1,0,0,0,0,1,2,6,1,3,3,0
246,6,9,610,2016,1,6,1,1,0,1,0,0,0,0,2,2,6,2,3,3,0
247,2,3,209,2016,3,5,18,1,0,1,0,0,0,0,2,2,6,2,3,3,0
248,6,2,603,2016,2,2,17,1,0,1,0,0,0,0,2,5,3,2,3,3,0
249,1,11,128,2016,2,2,7,1,0,1,0,0,0,1,3,2,6,0,3,3,0
250,7,9,710,2016,4,6,6,0,0,1,0,0,0,0,1,5,3,0,3,3,0
251,7,10,711,2016,1,4,13,0,0,1,0,0,0,0,1,2,6,0,3,3,0
252,2,3,209,2016,3,6,13,1,1,0,1,0,0,0,3,6,7,0,3,3,0
253,1,6,117,2016,2,5,19,0,0,1,0,0,0,0,1,2,6,2,3,3,0
254,2,6,218,2016,3,1,14,1,0,1,0,0,0,0,2,2,6,0,3,3,0
255,3,9,321,2016,1,2,15,1,0,1,0,0,0,0,2,2,6,0,3,3,0
256,2,5,216,2016,3,4,17,0,0,1,0,0,0,0,1,2,6,0,3,3,0
257,6,2,603,2016,1,6,12,0,0,1,0,0,0,0,1,1,2,0,3,3,0
258,2,5,215,2016,2,7,18,1,0,1,1,0,0,0,3,6,3,2,3,3,0
259,4,6,414,2016,3,3,12,0,0,1,0,0,0,1,2,3,3,0,3,3,0
260,3,7,319,2016,1,4,18,0,0,1,0,0,0,0,1,2,6,2,3,3,0
261,3,7,319,2016,3,6,13,0,0,1,0,0,0,0,1,1,6,0,3,3,0
262,3,9,321,2016,3,3,15,0,0,1,0,0,0,0,1,2,6,0,3,3,0
263,2,3,208,2016,2,2,14,1,0,1,0,0,0,0,2,2,2,0,3,3,0
264,7,10,711,2016,2,7,17,1,0,1,0,0,0,0,2,2,7,1,3,3,0
265,7,13,714,2016,4,3,20,1,0,1,0,0,0,0,2,5,3,2,3,3,0
266,1,16,136,2016,1,3,6,0,0,1,0,0,1,0,2,3,6,2,3,3,0
267,6,1,601,2016,3,3,17,0,0,1,0,0,0,0,1,3,6,1,3,3,0
268,1,12,130,2016,2,3,7,0,0,1,0,0,0,0,1,2,6,0,3,3,0
269,1,12,130,2016,1,6,20,1,0,1,0,0,0,1,3,2,6,2,3,3,0
270,2,5,216,2016,3,3,12,0,0,1,0,0,0,0,1,5,3,0,3,3,0
271,3,1,307,2016,2,6,15,0,1,1,0,0,0,0,2,5,3,0,3,3,0
272,2,3,209,2016,1,4,21,0,0,0,1,0,0,1,2,6,2,2,3,3,0
273,7,10,711,2016,2,6,14,1,0,1,0,0,0,0,2,4,3,0,3,3,0
274,4,5,410,2016,1,5,16,0,0,1,0,0,0,0,1,5,3,0,3,3,0
275,2,5,215,2016,2,6,13,0,0,1,0,0,1,0,2,5,3,0,3,3,0
276,7,14,715,2016,4,2,16,0,1,1,0,0,0,0,2,4,1,0,3,2,1
277,3,5,317,2016,1,3,10,0,0,1,0,0,0,0,1,2,6,0,3,3,0
278,2,7,219,2016,3,2,18,1,0,1,0,0,0,0,2,1,6,2,3,3,0
279,1,8,125,2016,2,2,21,1,0,1,0,0,0,0,2,1,6,2,3,3,0
280,2,9,221,2016,1,5,17,1,0,1,0,0,0,0,2,2,6,2,3,3,0
281,4,2,403,2016,3,1,18,0,1,0,0,0,0,0,1,0,1,1,3,3,0
282,3,7,319,2016,2,5,16,1,0,1,0,0,0,0,2,5,3,0,3,3,0
283,4,5,410,2016,1,3,15,0,0,1,0,0,0,0,1,2,6,0,3,3,0
284,1,6,117,2016,2,3,8,0,1,1,1,0,0,0,3,0,7,0,3,3,0
285,4,5,412,2016,3,5,17,0,0,1,1,0,0,0,2,6,4,0,3,3,0
286,4,2,403,2016,1,7,17,1,1,1,0,0,0,0,3,5,2,2,3,3,0
287,1,6,117,2016,3,3,15,0,1,0,0,0,0,1,2,3,2,0,3,3,0
288,2,13,226,2016,2,4,13,0,0,1,0,0,1,0,2,3,6,0,3,3,0
289,7,14,715,2016,7,2,15,0,1,1,0,0,0,0,2,5,2,0,3,3,0
290,2,9,221,2016,5,2,17,1,1,1,0,0,0,0,3,4,2,0,3,3,0
291,3,5,317,2016,6,2,13,0,1,1,0,0,0,0,2,3,2,0,3,3,0
292,4,6,414,2016,12,2,15,2,0,1,0,0,0,0,3,5,2,0,3,3,0
293,3,6,318,2016,7,4,20,1,0,1,0,0,0,0,2,2,6,1,3,3,0
294,3,8,320,2016,11,3,19,1,0,1,0,0,1,0,3,3,6,2,3,2,1
295,7,10,711,2016,6,2,17,0,0,1,0,0,0,0,1,3,6,0,3,2,1
296,1,2,104,2016,6,5,7,0,0,1,0,0,0,0,1,2,6,0,3,3,0
297,1,16,137,2016,10,5,16,1,0,0,0,1,0,0,2,9,1,0,3,3,0
298,7,10,711,2016,10,5,16,0,0,1,0,0,0,0,1,0,7,0,3,3,0
299,1,12,130,2016,6,2,6,0,0,1,0,0,0,1,2,2,6,0,3,3,0
300,2,5,215,2016,5,2,13,0,0,1,0,0,0,0,1,8,1,0,3,3,0
301,1,8,124,2016,12,6,20,0,0,1,0,0,0,0,1,3,6,2,3,3,0
302,2,6,218,2016,5,1,15,1,0,1,0,0,0,0,2,2,6,0,3,3,0
303,3,8,320,2016,10,3,21,1,0,1,0,0,0,1,3,3,6,2,3,3,0
304,7,9,710,2016,10,6,15,0,0,1,0,0,0,0,1,1,6,0,3,3,0
305,1,4,111,2016,9,6,10,0,1,1,0,0,0,0,2,5,3,0,3,3,0
306,2,5,215,2016,9,5,18,0,0,1,0,1,0,0,2,3,6,0,3,3,0
