OBJECTID_1,OBJECTID,Admin0,Admin1,Admin2,Admin3,Year,Month,Day,DayofWeek,AccCategory,KindoCollision,TypeoAccident,LightingCond,RoadCondition,Bicycle,PassengerCar,Pedestrian,Motorcycle/Scooter,HGV,OtherAccidents,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
5853,98536,2,1,11,129,2016,10,1,6,3,5,3,2,0,0,1,0,0,0,0,571222.2341,5934860.086,10.07519637,53.5577853
5854,98537,2,5,8,516,2016,9,19,6,3,5,3,1,0,1,1,0,0,0,0,570228.4072,5940740.603,10.06151951,53.61076743
5855,98538,2,1,12,130,2016,10,13,6,3,5,3,0,1,0,1,0,0,0,0,576000.2421,5931893.888,10.14659083,53.53045863
5856,98539,2,4,11,430,2016,9,12,6,3,5,2,0,0,0,1,1,0,0,0,569089.247,5940516.311,10.04425426,53.60890318
5857,98540,2,5,1,504,2016,10,19,3,3,2,6,2,0,0,1,0,0,0,0,570069.3231,5936193.96,10.05809405,53.56992806
5858,98541,2,3,4,315,2016,10,15,3,3,5,2,0,1,0,1,0,0,0,0,578401.96,5926708.561,10.18151964,53.48350653
5859,98542,2,1,3,108,2016,10,15,4,3,3,6,0,0,0,1,0,0,0,1,565143.7882,5934742.993,9.983425109,53.55752253
5860,98543,2,1,1,101,2016,10,11,2,3,3,2,0,0,0,0,0,1,0,1,566537.9306,5933763.563,10.00425942,53.54854532
5861,98544,2,6,1,601,2016,10,11,6,3,0,1,0,1,0,0,0,1,0,0,577650.595,5930046.341,10.17102548,53.51361386
5862,98545,2,5,17,525,2016,10,10,5,3,5,3,0,1,1,1,0,0,0,0,578330.0025,5945826.374,10.18523018,53.65532233
5863,98546,2,4,10,429,2016,10,16,2,3,2,6,0,0,0,1,0,0,0,0,569533.9774,5939474.197,10.05074243,53.59947887
5864,98547,2,3,6,318,2016,10,8,4,3,0,5,0,0,0,1,0,0,0,0,563342.6537,5943032.382,9.95792278,53.63224198
5865,98548,2,4,8,421,2016,10,11,6,2,3,6,0,0,1,0,0,0,0,0,568741.9298,5936986.649,10.03822768,53.57722761
5866,98549,2,4,12,431,2016,10,6,6,3,2,6,2,1,0,1,0,0,0,0,566673.9451,5942572.148,10.0081945,53.62769213
5867,98550,2,1,12,130,2016,10,8,5,3,6,7,0,0,0,0,1,0,0,1,574874.6082,5931888.757,10.12961118,53.53057412
5868,98551,2,5,7,515,2016,9,17,6,3,5,3,0,0,1,1,0,0,0,0,571689.7057,5941194.84,10.08370763,53.61465169
5869,98552,2,1,4,112,2016,10,2,5,3,2,6,2,0,0,1,0,0,0,0,563353.868,5933848.682,9.956227031,53.54970415
5870,98553,2,4,6,415,2016,10,20,5,2,6,4,2,0,1,0,1,0,0,0,567969.3694,5936163.099,10.02638229,53.56992694
5871,98554,2,1,17,138,2016,10,1,2,3,9,1,2,1,0,1,0,0,0,0,565167.3704,5930995.763,9.983000524,53.52384219
5872,98555,2,3,1,306,2016,10,11,4,3,5,2,0,0,1,1,0,0,0,0,563645.6414,5936537.459,9.961177887,53.57383374
5873,98556,2,5,9,517,2016,9,10,6,3,0,7,0,1,1,0,0,0,0,1,572915.3877,5944044.544,10.1028997,53.64009227
5874,98557,2,5,4,512,2016,10,7,6,3,5,3,0,0,0,1,0,0,1,0,574693.3688,5937141.96,10.12813263,53.57780966
5875,98558,2,5,18,526,2016,10,6,6,3,5,3,2,1,0,1,0,0,0,0,578461.2935,5940512.203,10.18587632,53.60754662
5876,98559,2,7,13,714,2016,10,19,1,3,0,1,2,1,0,0,0,1,0,0,558829.9325,5925955.194,9.886472709,53.47928724
5877,98560,2,1,16,137,2016,10,18,5,3,1,6,1,1,0,0,0,0,1,0,565918.5848,5930516.352,9.994229268,53.51943989
5878,98561,2,5,9,517,2016,9,8,6,3,2,6,0,0,0,1,0,0,0,0,571501.881,5944236.808,10.08156779,53.64201515
5879,98562,2,1,3,106,2016,10,18,5,3,4,2,2,1,0,1,0,0,0,0,564235.1648,5933900.756,9.96953744,53.55006508
5880,98563,2,4,10,426,2016,10,15,3,3,4,2,0,0,1,1,0,0,0,0,569900.6356,5938580.079,10.05608163,53.59139466
5881,98564,2,5,7,515,2016,10,18,3,3,5,3,0,0,1,1,0,0,0,0,570162.8244,5938918.899,10.06011834,53.59440461
5882,98566,2,4,6,414,2016,10,10,1,3,3,6,0,1,0,1,0,0,0,0,566970.5928,5936761.321,10.01143101,53.5754317
5883,98567,2,6,1,601,2016,10,16,1,3,0,6,0,0,0,1,0,0,0,0,578124.4623,5929927.844,10.17814054,53.51247875
5884,98568,2,1,5,113,2016,10,11,4,3,2,6,0,0,0,1,0,0,0,0,567026.9588,5934795.197,10.01186026,53.55775462
5885,98569,2,3,1,310,2016,10,18,5,3,6,7,1,1,0,1,1,0,0,0,563766.3946,5935997.574,9.962890981,53.56896698
5886,98570,2,3,3,313,2016,10,16,6,3,2,6,0,0,0,1,0,0,0,1,564756.1461,5936868.435,9.97801474,53.5766724
5887,98571,2,2,8,220,2016,10,11,6,3,6,7,0,0,0,1,0,0,0,1,557725.6892,5938466.018,9.872143341,53.59185151
5888,98572,2,2,3,210,2016,10,19,5,3,6,4,2,1,0,1,1,0,0,0,562188.6467,5934259.973,9.938724273,53.55353988
5889,98573,2,5,4,512,2016,10,16,5,3,5,3,0,1,0,1,0,0,0,0,575702.0795,5937839.71,10.14353364,53.58393556
5890,98574,2,7,13,714,2016,10,22,4,3,2,6,2,0,0,1,0,1,0,0,559688.26,5926006.632,9.899414368,53.47965292
5891,98575,2,4,13,432,2016,10,17,3,3,5,3,0,0,1,1,0,0,0,0,566491.6485,5945911.355,10.00615245,53.657725
5892,98576,2,5,18,526,2016,10,16,2,3,3,6,0,0,1,0,0,0,0,0,576286.8197,5940041.855,10.15290326,53.60364085
5893,98577,2,4,2,404,2016,10,9,6,3,0,7,0,1,0,1,0,0,0,0,565277.7333,5938204.036,9.986170389,53.58861108
5894,98578,2,5,1,504,2016,10,8,3,2,6,2,0,0,0,1,1,0,0,0,570067.8684,5936350.126,10.05810713,53.57133172
5895,98579,2,4,11,430,2016,10,10,3,3,5,2,0,0,0,1,0,0,0,0,568224.6897,5942389.682,10.0315996,53.62585253
5896,98580,2,5,17,525,2016,10,16,7,2,5,3,0,0,1,1,0,0,0,0,576693.7589,5944816.436,10.16022821,53.6464889
5897,98581,2,4,13,432,2016,9,8,6,3,5,3,0,0,0,1,0,0,0,0,566042.4675,5946765.275,9.999538149,53.66545614
5898,98582,2,1,6,118,2016,10,16,1,3,0,7,0,1,0,0,0,1,0,1,568687.5519,5933915.101,10.03673128,53.54963042
5899,98583,2,7,1,702,2016,10,13,4,2,2,6,0,0,0,1,0,0,1,0,565977.1799,5925005.447,9.99395394,53.46990425
5900,98584,2,5,6,514,2016,10,7,5,3,3,6,0,0,1,1,0,0,0,0,573347.267,5940664.126,10.10863434,53.60965279
5901,98585,2,4,9,425,2016,10,18,4,3,5,7,2,0,1,0,0,0,0,0,570392.2581,5938160.159,10.06341306,53.58755506
5902,98586,2,2,7,219,2016,10,16,3,3,2,6,0,1,0,1,0,0,0,0,558764.3001,5934841.536,9.887150839,53.55916117
5903,98587,2,4,13,432,2016,10,16,2,3,6,3,0,1,0,1,1,0,0,0,568150.7132,5948226.164,10.03176113,53.67831454
5904,98588,2,2,9,221,2016,10,17,3,3,5,3,0,0,1,1,0,0,0,0,556072.1731,5936380.115,9.846789598,53.57328379
5905,98589,2,6,2,602,2016,10,14,7,3,2,2,0,0,0,1,0,0,0,0,578292.4857,5928193.58,10.18024074,53.49686836
5906,98590,2,1,4,111,2016,10,16,6,3,3,6,0,1,0,1,0,0,0,0,564002.9,5934006.15,9.966053859,53.55104065
5907,98591,2,6,5,606,2016,10,16,6,2,2,2,0,0,1,1,0,0,0,0,581467.4077,5922494.656,10.22661237,53.44517203
5908,98592,2,4,5,410,2016,9,13,6,2,5,3,0,0,0,1,0,1,0,0,566931.8163,5938258.491,10.01116658,53.58889194
