OBJECTID_1,OBJECTID,Admin0,Admin1,Admin2,Admin3,Year,Month,Day,DayofWeek,AccCategory,KindoCollision,TypeoAccident,LightingCond,RoadCondition,Bicycle,PassengerCar,Pedestrian,Motorcycle/Scooter,HGV,OtherAccidents,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
1,596,1,0,56,44,2016,1,16,7,3,2,6,0,1,0,1,0,0,0,0,556503.5622,5939164.76,9.853807832,53.59826462
2,1043,1,0,56,44,2016,3,12,7,3,2,6,0,0,0,1,0,0,0,0,556387.3434,5939185.131,9.852055583,53.59846022
3,1371,1,0,56,44,2016,3,18,6,3,2,6,1,0,0,1,0,1,0,0,556499.5882,5939173.805,9.853749428,53.59834634
4,2392,1,0,62,90,2016,5,19,4,3,5,2,0,0,1,1,0,0,0,0,575681.2085,5948315.203,10.14576622,53.67807846
5,4187,1,0,62,53,2016,8,12,4,2,2,2,0,0,0,1,0,0,0,0,577430.6566,5932384.735,10.16828756,53.5346609
6,4426,1,0,56,44,2016,8,13,5,3,2,7,0,0,0,1,0,1,0,0,556280.4474,5939211.244,9.850445213,53.5987064
7,4613,1,0,56,44,2016,8,11,4,3,2,2,0,0,0,1,0,0,0,0,556375.9045,5939186.907,9.851883075,53.59847741
8,4884,1,0,56,44,2016,9,16,2,3,2,6,0,0,0,1,0,0,0,0,556288.3882,5939209.817,9.850564933,53.59869272
9,5331,1,0,56,44,2016,9,14,7,3,5,3,0,0,1,1,0,0,0,0,556517.4636,5939170.711,9.854018945,53.5983166
10,5676,1,0,56,44,2016,8,16,6,3,2,6,0,0,0,1,0,0,0,0,556456.786,5939173.561,9.853102691,53.59834876
11,5692,1,0,56,44,2016,7,10,6,3,0,7,0,0,1,0,0,0,0,0,556514.1803,5939171.279,9.853969441,53.59832206
12,6132,2,7,9,710,2016,2,16,4,3,2,2,0,0,0,1,0,1,0,0,564235.4091,5922776.339,9.967262658,53.45008561
13,6135,2,1,19,140,2016,4,11,7,3,2,6,0,0,0,1,0,0,0,1,561096.3869,5930292.862,9.921464726,53.51801391
14,6147,2,6,9,610,2016,1,13,2,2,6,4,0,0,0,1,1,0,0,0,575365.4088,5926700.455,10.13576686,53.48387724
15,6148,2,1,1,102,2016,3,16,7,2,2,6,0,0,0,1,0,1,0,1,565846.1589,5933617.848,9.99378954,53.54732295
16,6155,2,3,5,317,2016,2,18,1,3,9,1,2,0,0,1,0,0,0,0,563732.328,5939531.976,9.963098545,53.60073575
17,6165,2,1,6,117,2016,1,21,4,3,5,3,2,1,0,1,0,0,0,0,568007.29,5934112.22,10.02650848,53.5514905
18,6166,2,3,9,321,2016,3,15,7,3,4,2,0,1,0,1,0,0,0,0,561461.5288,5938558.478,9.928596256,53.59225782
19,6183,2,4,5,411,2016,2,11,4,3,2,6,0,1,0,1,0,0,0,0,567486.64,5937555.221,10.01939497,53.58250045
20,6189,2,6,2,603,2016,4,15,2,3,5,2,0,0,1,1,0,0,0,0,582353.3944,5926138.468,10.24090338,53.4777799
21,6201,2,1,1,101,2016,1,3,7,3,4,6,2,2,0,1,0,0,0,0,566364.697,5933645.366,10.00162016,53.54750498
22,6206,2,1,6,115,2016,2,7,7,3,5,3,0,0,0,1,0,0,0,0,567748.1017,5933191.566,10.02239751,53.54324994
23,6209,2,3,7,319,2016,3,16,4,3,2,6,0,1,0,1,0,0,0,0,561218.2781,5943052.356,9.925804743,53.63267423
24,6220,2,4,7,417,2016,1,17,5,3,2,6,2,0,0,1,0,0,0,0,567955.832,5934932.514,10.02591023,53.55886927
25,6221,2,2,7,219,2016,3,16,7,2,5,3,0,0,0,1,0,1,0,0,559430.5487,5934390.295,9.897121888,53.55503063
26,6226,2,3,6,318,2016,2,9,3,3,1,6,0,0,0,1,0,0,0,0,562614.623,5941559.276,9.946618197,53.61909039
27,6237,2,1,19,140,2016,3,7,4,2,2,6,0,1,0,0,0,0,1,0,561229.808,5932693.727,9.923946254,53.53957606
28,6249,2,1,6,115,2016,2,12,2,3,2,6,0,1,0,1,0,0,0,0,567698.1141,5933220.322,10.0216495,53.54351482
29,6262,2,4,2,405,2016,1,19,1,3,2,7,2,1,0,1,0,0,0,0,565114.9994,5939215.964,9.983923593,53.59772572
30,6263,2,3,9,321,2016,3,9,6,3,5,3,0,1,0,1,0,0,0,0,561423.2312,5938623.407,9.928030504,53.59284585
31,6282,2,2,12,225,2016,2,12,3,3,2,7,0,0,0,1,0,0,0,0,555384.0277,5936449.361,9.836410885,53.57397925
32,6290,2,7,14,715,2016,4,12,7,3,2,6,0,0,0,1,0,0,0,0,556276.8535,5925200.17,9.847871345,53.47278044
33,6303,2,3,7,319,2016,1,5,6,3,2,6,2,0,0,1,0,0,0,0,561027.7111,5943032.616,9.922919336,53.63251908
34,6304,2,1,16,136,2016,3,11,6,3,2,6,0,1,0,1,0,0,0,0,568762.1052,5928050.185,10.03656867,53.4969117
35,6307,2,7,10,711,2016,2,13,5,3,1,6,0,0,0,1,0,0,0,0,562272.4269,5925081.283,9.938164891,53.47103698
36,6310,2,3,4,316,2016,3,16,3,3,6,2,0,1,0,0,1,0,0,1,564176.7487,5937707.791,9.969438048,53.58428712
37,6320,2,3,7,319,2016,1,10,3,3,8,1,0,1,0,0,0,0,0,1,561494.0305,5944942.388,9.930348091,53.64962815
38,6321,2,7,13,714,2016,3,6,4,3,5,3,1,2,0,1,0,0,0,1,558269.4449,5925134.385,9.877875874,53.47197244
39,6338,2,2,3,209,2016,3,13,3,3,3,6,0,0,0,1,0,0,1,0,562583.7492,5935324.229,9.944900488,53.56305778
40,6351,2,2,7,219,2016,1,12,7,3,2,6,0,1,0,1,0,0,0,0,559446.1904,5934607.091,9.897399204,53.55697731
41,6357,2,3,1,306,2016,2,15,7,3,2,6,0,1,0,1,0,0,0,0,563377.3703,5936269.321,9.957072651,53.57145638
42,6364,2,2,9,221,2016,4,14,3,3,1,6,0,1,0,1,0,0,1,0,557259.0894,5936206.576,9.864680105,53.57159589
43,6378,2,1,6,115,2016,1,9,3,3,2,6,0,0,0,1,0,0,0,0,566748.9812,5933685.855,10.00742769,53.54782016
44,6379,2,3,8,320,2016,3,14,3,3,3,6,0,0,0,1,0,0,1,0,560679.6151,5940564.859,9.917174886,53.61038098
45,6386,2,2,3,209,2016,2,18,3,3,1,6,2,1,0,1,0,0,0,0,562581.8084,5935324.668,9.944871278,53.56306197
46,6391,2,2,5,217,2016,2,7,2,3,3,6,0,1,0,1,0,0,1,1,558716.6307,5935852.331,9.886621245,53.56825102
47,6398,2,1,16,136,2016,4,18,5,3,2,6,0,1,0,1,0,0,0,0,568279.4093,5927048.43,10.02907548,53.48797157
48,6409,2,3,7,319,2016,1,14,4,3,2,6,0,1,0,1,0,0,0,0,561062.5403,5943133.056,9.923465694,53.6334177
49,6410,2,2,5,216,2016,3,21,5,3,2,6,2,0,0,1,0,0,0,0,559555.3901,5935282.559,9.899176189,53.56303568
50,6415,2,2,6,218,2016,2,14,5,3,2,7,0,1,0,1,0,0,0,0,557729.4803,5936158.663,9.871773808,53.57111372
51,6418,2,1,16,137,2016,3,16,7,3,2,6,0,0,0,1,0,0,0,0,566255.1715,5928090.31,9.998792278,53.49759403
52,6429,2,7,13,714,2016,1,6,7,3,9,1,2,2,0,1,0,0,0,0,559729.0726,5925070.52,9.899851252,53.4712349
53,6430,2,1,3,106,2016,3,8,4,3,5,3,0,1,0,1,0,0,0,1,564484.1074,5933869.613,9.973287854,53.54975467
54,6448,2,1,16,136,2016,2,15,6,3,2,6,0,0,0,1,0,0,0,0,568798.3283,5929140.604,10.03735385,53.50670678
55,6461,2,4,3,406,2016,1,15,5,3,5,3,0,0,0,1,0,0,0,0,565308.5951,5939861.463,9.986983686,53.60350285
56,6467,2,1,6,115,2016,2,18,5,3,2,6,2,0,0,1,0,0,0,0,567664.7161,5933239.604,10.02114974,53.54369242
57,6471,2,1,3,107,2016,4,21,2,2,6,4,2,0,0,1,1,0,0,0,564873.0644,5933817.562,9.979146821,53.54923896
58,6485,2,7,13,714,2016,1,17,2,3,2,2,1,0,0,1,0,0,0,0,559844.654,5925042.893,9.901587051,53.47097347
59,6486,2,1,12,130,2016,3,4,7,3,5,3,2,0,0,1,0,0,0,0,575223.0847,5931467.171,10.13476612,53.52673561
60,6494,2,2,5,217,2016,2,17,2,3,2,6,2,0,0,1,0,0,0,0,557667.381,5936161.801,9.870836744,53.57114876
61,6504,2,3,5,317,2016,1,16,5,3,5,2,2,0,0,1,0,0,0,1,563662.7611,5939804.323,9.962103063,53.60319186
62,6505,2,7,1,702,2016,3,23,7,3,2,6,2,1,0,1,0,0,0,0,566020.914,5925093.333,9.994631158,53.47068863
63,6524,2,6,2,603,2016,2,12,4,3,6,2,0,0,0,1,1,0,0,0,581499.4895,5927269.424,10.22833357,53.48807627
64,6534,2,7,10,711,2016,1,18,5,3,3,6,2,1,0,1,0,0,0,0,564544.4512,5924623.405,9.972294689,53.46664824
65,6535,2,7,10,711,2016,3,17,2,3,2,6,0,0,0,1,0,0,0,0,562731.6459,5925092.486,9.945084459,53.47108317
66,6553,2,4,6,415,2016,2,4,5,2,6,4,2,1,0,1,1,0,0,0,568252.5843,5935887.579,10.03059806,53.56741405
67,6567,2,7,2,703,2016,1,9,3,1,2,6,0,0,0,0,0,0,1,0,568143.5052,5924021.08,10.02637079,53.46078159
68,6573,2,4,2,405,2016,2,15,4,3,5,2,0,0,1,1,0,0,0,0,565114.366,5939258.011,9.983922804,53.59810368
69,6576,2,1,16,136,2016,4,14,6,3,1,6,0,0,0,1,0,0,0,0,568679.946,5927881.912,10.03529353,53.49541013
70,6589,2,2,5,216,2016,1,7,1,3,2,6,1,2,0,1,0,0,0,0,559619.1151,5935493.94,9.900178526,53.56492823
71,6590,2,4,8,418,2016,3,14,6,3,6,7,0,0,1,0,1,0,0,0,567467.7475,5937257.76,10.01904534,53.57982956
72,6596,2,3,9,321,2016,2,15,6,3,0,7,0,0,0,0,0,1,0,0,561358.5361,5938676.52,9.92706363,53.59333077
73,6606,2,4,2,405,2016,1,23,4,3,1,2,2,1,0,1,0,0,0,0,565641.5894,5938675.071,9.991765496,53.59279894
74,6607,2,3,6,318,2016,3,13,7,3,5,2,0,1,1,1,0,0,0,0,562842.4179,5941421.185,9.950033651,53.61782205
75,6625,2,2,6,218,2016,2,10,4,3,2,6,0,1,0,1,0,0,0,0,558192.888,5935965.894,9.878734915,53.56933001
76,6632,2,1,12,130,2016,4,15,2,3,2,6,0,0,0,1,0,0,0,0,574514.1972,5935930.263,10.12513794,53.56694582
77,6644,2,1,16,136,2016,1,14,6,3,3,6,0,0,0,1,0,0,0,0,568720.9616,5928006.891,10.03593907,53.49652799
78,6649,2,1,6,117,2016,2,11,7,3,3,6,0,0,0,1,0,0,0,0,567949.2305,5934198.454,10.02565102,53.55227302
79,6652,2,1,16,136,2016,3,6,3,3,3,6,0,0,0,1,0,0,1,0,568418.6977,5927340.894,10.03123815,53.49058192
80,6675,2,6,11,612,2016,1,8,2,3,3,6,0,1,0,1,0,0,1,0,572261.292,5929301.514,10.08959603,53.50768844
81,6680,2,1,8,124,2016,2,8,1,3,6,2,0,2,0,1,1,0,0,0,568945.7121,5934267.798,10.04070487,53.55276631
82,6683,2,2,5,217,2016,3,19,5,3,2,6,2,0,0,1,0,0,0,0,558285.8024,5935917.865,9.880128813,53.56888804
83,6696,2,2,9,221,2016,1,8,6,3,3,2,2,1,1,1,0,0,0,0,555294.0173,5936479.404,9.835057025,53.57425876
84,6697,2,7,1,701,2016,3,15,2,3,5,3,0,0,0,1,0,0,0,0,565077.1337,5924355.445,9.980262224,53.46417442
85,6703,2,2,5,215,2016,2,16,4,3,6,3,1,1,0,1,1,0,0,0,560966.7708,5935404.899,9.920506312,53.56397314
86,6713,2,6,9,610,2016,1,0,6,3,2,6,2,1,0,1,0,0,0,0,572824.4966,5927921.991,10.09776628,53.49521295
87,6714,2,2,9,221,2016,3,7,5,3,6,7,1,0,1,0,1,0,0,0,556646.8428,5936244.4,9.855442455,53.5720023
88,6727,2,6,10,611,2016,2,6,2,3,1,6,0,0,0,0,0,0,1,0,573359.4159,5929860.205,10.10628155,53.51255734
89,6735,2,1,3,106,2016,2,12,3,3,2,6,0,1,0,1,0,0,0,0,564376.4632,5933898.841,9.971669406,53.55003056
90,6743,2,1,6,115,2016,4,18,7,3,0,1,0,0,0,0,0,1,0,0,567911.0984,5933128.302,10.02484316,53.54266033
91,6756,2,6,2,602,2016,1,16,5,3,6,7,2,0,0,1,1,0,0,0,580477.7395,5927082.788,10.21289004,53.48655629
92,6757,2,3,6,318,2016,3,14,6,3,3,7,0,1,0,1,0,1,0,0,562679.6893,5941501.805,9.947590164,53.6185661
93,6761,2,6,1,601,2016,2,7,5,3,5,3,2,1,1,1,0,0,0,0,579723.5388,5927621.036,10.20166288,53.49150815
94,6764,2,2,3,209,2016,3,21,2,3,6,2,2,1,0,1,1,0,0,0,562521.3229,5935962.898,9.944085929,53.56880517
95,6775,2,3,8,320,2016,1,8,2,3,2,6,1,1,0,1,0,0,0,1,560433.7326,5941622.501,9.913664099,53.61991481
96,6776,2,3,8,320,2016,3,15,4,3,2,6,0,0,0,1,0,0,1,0,560889.2068,5939904.314,9.920213353,53.60442012
97,6794,2,3,6,318,2016,2,9,7,3,4,7,0,0,0,1,0,0,0,0,563329.4355,5944748.519,9.958072374,53.64766685
98,6801,2,1,6,117,2016,1,7,4,3,6,4,0,1,0,1,1,0,0,0,568390.02,5933193.569,10.03208352,53.54318474
99,6802,2,2,9,221,2016,3,20,6,3,6,4,2,0,0,1,1,0,0,0,557126.7642,5936237.941,9.862687825,53.57189221
100,6818,2,1,12,130,2016,3,21,3,3,3,2,2,1,0,1,0,0,1,0,575213.0758,5931488.8,10.13462036,53.52693142
101,6829,2,3,8,320,2016,2,19,2,3,2,6,2,1,0,1,0,0,0,0,560575.7542,5940767.056,9.915644561,53.61221022
102,6831,1,0,56,44,2016,12,18,4,3,0,7,2,0,0,0,0,1,0,0,556416.2748,5939180.432,9.852491855,53.59841487
103,6836,2,6,1,601,2016,2,12,1,3,5,3,0,1,0,1,0,0,0,0,579781.8051,5927576.76,10.20252965,53.49110143
104,6843,2,3,6,318,2016,4,17,4,3,2,6,0,0,0,1,0,0,0,1,563219.5053,5940740.609,9.955595344,53.61166017
105,6857,2,3,7,319,2016,3,16,5,3,2,6,0,0,0,1,0,0,0,0,561306.9219,5943888.472,9.927309899,53.64017827
106,6860,1,0,56,44,2016,12,12,7,3,5,3,0,1,1,1,0,0,0,0,556412.3918,5939188.07,9.85243457,53.59848394
107,6862,2,2,3,208,2016,2,14,5,3,3,7,0,0,0,1,0,0,0,0,562962.909,5935219.244,9.950603091,53.5620689
108,6873,2,3,9,321,2016,1,13,7,3,2,6,0,0,0,1,0,0,0,0,561818.6946,5937535.465,9.933789027,53.58302166
109,6874,2,6,2,603,2016,3,15,3,3,5,3,0,0,1,1,0,0,0,0,580837.84,5927155.465,10.21833454,53.48715422
110,6892,2,3,7,319,2016,2,13,6,3,2,6,0,1,0,1,0,0,0,0,560780.256,5942138.672,9.919003026,53.62451371
111,6904,2,1,8,125,2016,1,23,4,3,9,1,2,1,0,1,0,0,0,0,570166.7673,5934082.585,10.05909116,53.55094001
112,6910,2,7,14,715,2016,2,17,4,3,2,6,1,0,0,1,0,0,0,0,557661.0909,5925093.968,9.868704278,53.47167616
113,6913,2,4,2,403,2016,4,13,1,3,2,6,0,0,0,1,0,0,0,0,564716.9683,5938086.414,9.977675704,53.58762351
114,6926,2,1,16,136,2016,1,17,2,3,3,6,2,0,0,1,0,0,1,0,570086.9313,5929447.84,10.05684874,53.50929779
115,6927,2,1,4,111,2016,3,15,7,3,5,3,0,0,1,1,0,0,0,0,563892.1953,5934516.984,9.964487554,53.55564516
116,6937,2,1,16,136,2016,1,15,5,3,2,6,0,0,0,1,0,0,0,1,568800.9209,5929133.926,10.03739147,53.50664642
117,6943,2,1,16,136,2016,2,7,6,3,3,6,0,1,0,1,0,0,1,0,570150.0174,5929446.499,10.05779955,53.50927733
118,6948,2,3,1,306,2016,4,16,3,3,5,2,0,1,1,1,0,0,0,0,563298.6708,5936155.366,9.955861281,53.57044173
119,6962,2,2,5,216,2016,1,20,3,3,4,2,2,1,0,1,0,0,0,0,559539.4058,5935519.146,9.898979976,53.56516381
120,6963,2,1,3,106,2016,3,18,3,3,2,6,2,0,0,1,0,0,0,0,564263.6168,5933974.499,9.969981971,53.55072435
121,6970,2,1,7,120,2016,2,7,2,3,2,6,1,0,0,1,0,0,0,0,567987.5171,5934433.165,10.02627988,53.55437745
122,6981,2,1,8,121,2016,1,10,5,3,1,2,0,2,0,1,0,0,0,0,568814.8901,5934986.182,10.03888869,53.55923967
123,6982,2,1,12,130,2016,3,5,1,3,2,6,2,0,0,1,0,0,0,0,575494.8785,5932191.701,10.13904006,53.53320788
124,7000,2,3,8,320,2016,2,19,5,3,4,2,2,1,0,1,0,0,0,1,560071.04,5941674.86,9.908191611,53.6204271
125,7016,2,1,8,124,2016,1,19,3,3,2,2,2,1,0,1,0,0,0,0,569290.2046,5934243.228,10.04589844,53.55250014
126,7021,2,6,2,602,2016,2,15,3,3,1,6,0,0,0,1,0,0,0,0,580430.3427,5927109.355,10.2121827,53.48680228
127,7024,2,7,14,715,2016,3,17,5,3,2,6,0,0,0,1,0,0,0,0,557425.7217,5925074.428,9.865155151,53.47152626
128,7039,2,4,7,417,2016,1,20,7,3,5,3,2,1,0,1,0,0,0,0,568338.5967,5935773.318,10.0318716,53.56637598
129,7040,2,3,9,321,2016,3,13,4,3,2,6,0,0,0,1,0,1,0,0,562318.8405,5936427.948,9.941121656,53.57300882
130,7046,2,6,1,601,2016,2,16,5,3,2,6,1,1,0,1,0,0,0,0,577332.5098,5930167.019,10.16625941,53.51474525
131,7056,2,2,3,209,2016,1,9,2,3,3,6,0,2,0,1,0,0,1,0,562807.223,5935253.751,9.948259861,53.56239768
132,7057,2,4,6,415,2016,3,18,6,2,5,3,2,0,1,1,0,0,0,0,568258.2326,5935880.042,10.03068169,53.56734558
133,7073,2,1,6,117,2016,2,15,1,3,4,2,0,0,0,1,0,0,0,0,567973.0304,5934095.848,10.0259879,53.5513478
134,7083,2,6,11,612,2016,1,17,4,3,3,6,1,1,0,1,0,0,0,0,571971.0169,5928728.769,10.08508849,53.50258096
135,7084,2,1,6,115,2016,3,23,7,3,3,6,2,1,0,1,0,0,0,0,567900.7802,5933132.029,10.02468828,53.54269515
136,7101,2,4,3,406,2016,2,16,4,3,5,3,0,0,0,1,0,0,0,0,566422.9717,5941265.903,10.00412143,53.61598467
137,7108,2,1,16,136,2016,4,7,2,3,2,6,0,0,0,1,0,0,0,0,567280.7447,5930298.835,10.01472408,53.51731243
138,7120,2,3,7,319,2016,1,18,7,3,6,4,2,1,0,1,1,0,0,0,560261.6774,5943392.177,9.911405912,53.63583932
139,7125,2,3,6,318,2016,2,10,1,3,3,7,0,1,0,1,0,0,0,0,562487.435,5941706.929,9.944725267,53.62043258
140,7128,2,7,10,711,2016,3,17,4,3,2,6,0,0,0,1,0,0,0,0,562390.4995,5925088.221,9.939944828,53.47108536
141,7139,2,3,1,306,2016,1,14,6,3,5,7,0,0,1,0,0,0,0,1,563487.7525,5936513.335,9.958788908,53.57363606
142,7140,2,2,7,219,2016,3,17,1,3,2,6,0,0,0,1,0,0,0,0,559472.1323,5934410.321,9.89775333,53.5552059
143,7146,2,1,7,120,2016,2,15,3,3,2,6,0,0,0,1,0,0,0,0,567972.871,5934419.986,10.02605596,53.5542609
144,7156,2,1,12,130,2016,1,1,6,3,2,6,2,0,0,1,0,0,0,0,576326.1145,5934663.738,10.15218189,53.55530345
145,7169,2,1,12,130,2016,2,13,2,3,3,6,0,1,0,1,0,0,1,0,575040.2203,5931576.666,10.13203439,53.52774577
146,7177,2,2,5,216,2016,2,14,2,3,1,2,0,1,0,1,0,0,0,0,559636.9817,5935503.776,9.900450131,53.56501459
147,7184,2,3,7,319,2016,4,13,6,3,3,2,0,0,0,1,0,0,0,1,561431.01,5944419.73,9.929291502,53.64493829
148,7196,2,1,6,115,2016,1,17,4,3,3,6,2,0,0,1,0,0,1,0,567816.5081,5933162.191,10.0234233,53.54297711
149,7197,2,2,9,221,2016,3,10,5,3,2,6,0,0,0,0,0,0,1,0,555715.1568,5936363.648,9.841395719,53.57317382
150,7208,2,1,12,130,2016,2,14,3,3,2,6,0,1,0,1,0,0,1,0,574779.7165,5931068.035,10.12798388,53.5232119
151,7216,2,3,9,321,2016,4,8,2,3,3,6,0,0,0,1,0,0,1,0,560881.4143,5939922.45,9.920099145,53.60458402
152,7228,2,3,9,321,2016,1,19,6,3,1,6,2,1,0,1,0,0,0,0,561570.2603,5938438.665,9.930215145,53.59116825
153,7231,2,3,5,317,2016,2,18,6,3,5,2,1,0,0,1,0,0,0,1,563662.8565,5939803.859,9.962104409,53.60318767
154,7234,2,3,6,318,2016,3,8,3,3,5,3,0,0,1,1,0,0,0,0,563039.8701,5940895.477,9.952911819,53.61307365
155,7244,2,3,8,320,2016,1,16,3,2,6,4,1,0,0,1,1,0,0,0,560100.0067,5941879.107,9.908668914,53.62225942
156,7245,2,3,4,316,2016,3,14,5,3,5,3,0,0,0,0,0,0,1,1,564185.912,5937687.041,9.969572176,53.58409952
157,7262,2,3,4,316,2016,3,20,3,3,5,7,2,1,0,1,0,0,0,1,564121.5447,5937890.779,9.968641885,53.58593844
158,7274,2,2,5,217,2016,1,12,7,3,6,7,0,1,0,1,1,0,0,0,558324.7713,5935907.101,9.880715166,53.56878697
159,7281,2,4,5,409,2016,2,14,7,3,0,7,0,1,0,1,0,0,0,1,565834.8407,5938753.714,9.994701409,53.59348148
160,7288,2,1,8,124,2016,4,14,3,3,5,3,0,1,0,1,0,0,0,0,569403.205,5934223.709,10.04759947,53.55230979
161,7302,2,1,6,115,2016,1,15,3,3,1,6,0,1,0,1,0,0,0,1,567171.0294,5933670.355,10.01379315,53.54762704
162,7303,2,4,6,414,2016,3,14,3,3,2,6,0,0,0,1,0,0,0,0,567701.3171,5936632.111,10.02243692,53.57417668
163,7309,2,2,13,226,2016,2,16,3,3,6,4,1,0,0,1,1,0,0,0,552007.3842,5937147.234,9.785538437,53.58059715
164,7320,2,3,9,321,2016,1,16,6,3,5,3,1,1,0,1,0,0,0,0,561454.6103,5938565.276,9.928493082,53.59231973
165,7321,2,1,1,102,2016,3,17,3,3,2,6,0,1,0,1,0,0,0,0,565840.6189,5933617.287,9.993705823,53.5473186
166,7334,2,1,8,124,2016,2,15,5,3,5,3,0,1,0,1,0,0,0,0,568954.6451,5934248.934,10.04083553,53.5525956
167,7337,2,7,10,711,2016,3,14,7,3,2,6,0,0,0,1,0,0,0,0,559523.5009,5925111.777,9.896762436,53.47162898
168,7348,2,3,7,319,2016,1,15,1,3,2,6,0,1,0,1,0,0,0,0,561826.9637,5944676.12,9.935331366,53.64719589
169,7349,2,1,19,140,2016,3,6,4,3,1,6,1,0,0,1,0,0,0,0,561606.739,5932425.614,9.929580464,53.53712235
170,7367,2,7,2,703,2016,2,6,6,3,3,6,2,1,0,1,0,0,1,0,568015.613,5924764.927,10.0246058,53.46748328
171,7380,2,2,6,218,2016,1,17,5,3,6,4,0,0,0,1,1,0,0,0,557914.9166,5936132.829,9.874568936,53.57086111
172,7386,2,3,7,319,2016,2,15,6,3,1,6,0,0,0,1,0,0,0,0,560186.5173,5942610.166,9.910118067,53.62881976
173,7391,2,2,5,215,2016,4,8,2,3,1,6,0,1,0,1,0,0,1,1,560652.2016,5937556.944,9.916175491,53.5833509
174,7405,2,3,5,317,2016,1,0,3,3,9,7,2,0,0,1,0,0,0,0,563624.5253,5939964.942,9.961558102,53.60464003
175,7406,2,3,1,306,2016,3,9,2,3,3,7,0,1,0,1,0,0,0,0,563358.0237,5936225.031,9.956771554,53.57106067
176,7414,2,3,8,320,2016,2,8,2,3,2,6,0,1,0,1,0,0,0,0,559175.8364,5941919.987,9.894705781,53.62273208
177,7424,2,2,5,216,2016,1,22,5,3,4,2,2,2,0,1,0,0,0,0,560328.4146,5935596.637,9.910906468,53.56577014
178,7425,2,7,14,715,2016,3,12,7,3,2,6,0,1,0,1,0,0,0,0,557018.3896,5925055.027,9.859015672,53.47139616
179,7428,1,0,56,50,2016,10,16,3,3,2,6,0,0,0,1,0,0,0,0,548823.4315,5937619.078,9.737525201,53.58514406
180,7443,2,1,1,102,2016,2,8,5,3,3,6,0,0,0,1,0,0,0,0,565729.0648,5933607.234,9.992020346,53.54724223
181,7459,2,3,1,305,2016,1,13,3,3,4,2,0,0,0,1,0,0,0,0,563527.801,5936626.644,9.959416679,53.57464956
182,7464,2,2,9,221,2016,2,15,2,3,3,2,0,0,0,1,0,0,0,0,556835.0406,5936248.648,9.858284915,53.57202013
183,7472,2,1,14,132,2016,2,19,5,3,1,6,2,1,0,1,0,0,0,0,568466.2944,5933009.793,10.03319416,53.54152318
184,7485,2,1,1,102,2016,1,7,4,3,6,2,2,1,0,0,1,0,1,0,565493.9725,5933622.562,9.988475991,53.54740937
185,7491,2,2,5,216,2016,2,9,4,3,5,3,0,0,0,1,0,0,0,0,560323.7721,5935595.434,9.910836148,53.56575987
186,7494,2,1,16,136,2016,4,17,6,3,2,6,0,0,0,1,0,0,0,0,568931.7003,5928704.707,10.03926866,53.50277182
187,7506,2,1,12,130,2016,1,7,2,3,2,6,1,2,0,1,0,0,0,0,575010.8622,5931606.66,10.13159878,53.52801952
188,7507,2,1,6,115,2016,3,17,6,3,2,6,1,0,0,1,0,0,0,0,566872.7201,5933700.283,10.00929802,53.54793408
189,7513,2,1,6,117,2016,2,20,6,3,4,2,2,1,0,1,0,0,1,0,568297.1074,5933427.168,10.03073262,53.54529622
190,7523,2,2,5,216,2016,1,14,4,3,4,6,0,0,0,1,0,0,0,0,560613.6831,5935485.222,9.915191554,53.56473594
191,7524,2,2,5,216,2016,3,12,7,3,3,2,0,1,0,1,0,0,0,1,559617.0986,5935509.093,9.900150975,53.56506464
192,7542,2,4,7,417,2016,2,10,4,3,5,3,0,1,1,1,0,0,0,0,568445.5739,5935626.914,10.03345452,53.56504629
193,7548,2,6,10,611,2016,4,6,2,3,1,6,0,0,0,1,0,0,0,1,572887.1874,5929616.183,10.0991049,53.51042999
194,7560,2,7,10,711,2016,1,13,6,3,5,3,0,0,0,1,0,0,0,0,564180.5405,5924809.376,9.966851597,53.46836412
195,7565,2,1,8,124,2016,2,19,7,3,2,2,2,0,0,1,0,0,0,0,568961.5854,5934249.295,10.04094035,53.55259793
196,7568,2,7,9,710,2016,3,7,3,3,5,3,0,0,1,1,0,0,0,0,564201.057,5922755.64,9.966741237,53.44990377
197,7579,2,2,13,226,2016,1,20,5,3,5,2,2,1,1,1,0,0,0,0,553618.7626,5936885.134,9.809829627,53.57807922
198,7580,2,3,9,321,2016,3,5,6,3,2,6,0,0,0,1,0,0,0,0,561123.7485,5939148.559,9.923609267,53.59760058
199,7595,2,3,9,321,2016,3,15,5,3,3,6,0,0,0,1,0,0,0,0,561427.1284,5938618.928,9.928088495,53.59280513
200,7609,2,7,14,715,2016,1,16,6,3,2,6,0,0,0,1,0,0,0,0,555712.8746,5925131.794,9.839363276,53.47222587
201,7610,2,2,5,216,2016,3,19,3,2,2,6,2,0,0,1,0,0,0,0,559591.3771,5935377.063,9.899737477,53.56388094
202,7616,2,2,5,215,2016,2,21,4,3,5,3,2,0,0,1,0,0,0,0,560904.3536,5935407.839,9.919564613,53.56400681
203,7626,2,6,9,610,2016,1,1,6,3,2,6,2,2,0,1,0,0,0,0,574214.6256,5926923.884,10.11848088,53.48604873
