type_of_accident,lighting_conditions,road_conditions,impact_on_obstacle_next_to_the_road,location_innercity_extraurban,street_class,kind_of_accident,gender,feature_x,feature_y,day_of_week,vacation,month,hour_cat,age,casualty_age,casualty_gender,accident_categore,accident_severity
3,0,0,5,1,5.0,6,1.0,493202.3782,5885603.435,4,0,3,4,56,50,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,489060.2967,5880666.297,7,0,2,4,70,73,2.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,482522.6172,5877695.81,2,0,2,4,40,42,1.0,5.0,0.0
4,0,0,5,1,5.0,6,1.0,475314.4715,5893443.268999998,5,0,3,4,50,62,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,488381.0502,5877895.047,6,1,4,4,75,43,1.0,5.0,0.0
3,0,0,3,1,2.0,6,1.0,486029.4696,5881354.174,4,0,4,2,30,42,1.0,5.0,0.0
3,0,0,5,1,5.0,7,1.0,485747.2547,5883427.1839999985,7,0,5,5,49,25,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,481314.8668,5877291.34,6,0,4,5,51,48,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,492472.7194,5880030.705,7,0,4,5,42,34,2.0,5.0,0.0
3,0,0,5,1,5.0,6,2.0,485996.8036,5878766.071,7,0,4,4,29,57,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,482580.5692,5878019.905,2,0,5,4,66,28,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,484748.7693,5879247.146000002,5,0,5,5,57,52,2.0,5.0,0.0
4,0,0,4,1,5.0,1,2.0,478245.3631,5882128.471,7,0,5,2,24,64,1.0,3.0,0.0
2,0,0,5,1,5.0,6,1.0,486175.7051,5879675.807999998,3,1,5,5,34,54,1.0,5.0,0.0
1,2,0,5,1,5.0,7,2.0,482242.5748,5877198.126,1,0,5,1,34,37,1.0,5.0,0.0
3,0,0,5,1,2.0,3,2.0,489656.8782,5876534.091,2,0,6,5,51,59,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,486974.1959,5881590.176,7,0,6,3,26,22,1.0,5.0,0.0
