type_of_accident,lighting_conditions,road_conditions,impact_on_obstacle_next_to_the_road,location_innercity_extraurban,street_class,kind_of_accident,gender,feature_x,feature_y,day_of_week,vacation,month,hour_cat,age,casualty_age,casualty_gender,accident_categore,accident_severity
3,0,0,5,2,1.0,6,1.0,481109.6123,5891245.856000002,3,0,3,2,60,28,2.0,5.0,0.0
0,0,0,4,1,5.0,7,1.0,478560.5361,5891533.361000001,3,0,9,4,84,34,1.0,3.0,0.0
2,0,0,5,1,2.0,6,1.0,486606.1351,5878374.818,6,0,9,2,37,29,2.0,5.0,0.0
3,0,0,5,2,2.0,6,2.0,485235.2953,5879919.844,5,1,10,4,51,63,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,488141.3904,5881085.757,2,1,10,2,43,41,2.0,5.0,0.0
3,0,0,5,2,2.0,6,1.0,486361.701,5881896.207,4,0,1,4,54,21,1.0,5.0,0.0
2,0,1,5,1,5.0,6,2.0,493432.708,5880439.033,2,0,8,5,50,45,1.0,3.0,0.0
2,0,0,5,1,5.0,6,1.0,486306.5442,5883136.4679999985,3,1,10,5,49,50,1.0,5.0,0.0
5,0,0,5,1,5.0,7,1.0,484772.865,5884432.495,6,1,10,3,48,45,1.0,3.0,0.0
8,0,1,3,1,5.0,1,2.0,492379.1069,5876730.927,1,1,10,5,30,44,1.0,2.0,1.0
2,0,0,5,1,5.0,6,2.0,492983.9166,5878487.97,6,0,9,4,32,21,1.0,3.0,0.0
2,0,0,3,2,2.0,6,1.0,485903.747,5881086.721,4,0,9,3,49,44,1.0,3.0,0.0
2,0,0,5,1,2.0,6,1.0,487809.89700000006,5877476.01,7,0,6,5,56,47,2.0,5.0,0.0
1,0,1,5,1,2.0,6,2.0,486941.2556,5884434.4410000015,4,0,3,4,31,37,1.0,5.0,0.0
3,0,1,5,1,2.0,6,1.0,485954.2511,5881187.89,6,0,12,2,22,48,1.0,5.0,0.0
3,0,0,5,1,5.0,2,1.0,481881.2713,5886614.991,6,0,11,3,35,28,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,483427.635,5884780.455,6,0,11,4,79,19,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,486019.0657,5881859.364,3,0,11,4,38,42,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,497591.4882,5879145.275,2,0,12,4,19,61,2.0,5.0,0.0
0,2,1,5,1,5.0,7,1.0,486490.5083,5882818.1910000015,4,0,11,5,59,44,1.0,5.0,0.0
2,0,0,5,1,2.0,6,1.0,485953.6455,5881164.232999999,3,0,11,4,73,34,1.0,5.0,0.0
3,2,1,5,1,5.0,6,1.0,486599.5904,5883632.292,7,0,11,6,28,65,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,488168.2161,5880967.762999998,3,0,11,2,61,32,2.0,3.0,0.0
8,2,1,1,1,5.0,1,1.0,488245.9607,5881688.302999998,7,0,11,6,20,44,1.0,5.0,0.0
3,0,0,5,2,1.0,6,1.0,492068.0817,5876467.759,2,1,1,2,59,50,2.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,493098.5245,5885449.8489999985,2,0,11,2,86,55,1.0,5.0,0.0
8,0,0,3,2,1.0,1,1.0,483628.4356,5887139.126,2,1,7,2,23,44,1.0,5.0,0.0
2,2,1,5,1,5.0,6,1.0,483103.4518,5886317.852999999,3,0,11,5,27,24,1.0,5.0,0.0
7,2,0,5,1,5.0,7,1.0,491829.7477,5885072.347,3,0,12,2,43,44,1.0,5.0,0.0
3,2,1,5,1,5.0,6,2.0,487018.9899,5881648.701,1,0,12,5,35,23,1.0,5.0,0.0
1,2,0,5,1,5.0,5,1.0,485359.4502,5882058.836,4,0,12,6,28,32,1.0,5.0,0.0
2,0,1,5,1,5.0,5,2.0,482388.39,5878635.275,3,0,11,2,24,65,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,490642.8669,5884054.949,4,0,6,5,45,42,1.0,5.0,0.0
2,0,0,5,1,5.0,7,2.0,483313.1538,5884772.1910000015,7,0,12,4,25,28,1.0,5.0,0.0
3,0,0,5,1,5.0,2,2.0,486129.898,5882169.05,5,0,1,2,30,46,1.0,5.0,0.0
1,2,1,5,1,5.0,7,2.0,494366.5266,5882686.118,6,0,11,6,78,44,1.0,5.0,0.0
3,0,1,5,1,5.0,6,2.0,492898.6788,5880231.4679999985,6,0,11,4,35,76,1.0,5.0,0.0
3,2,0,5,1,5.0,6,2.0,487444.9503,5881291.469,2,0,11,5,59,55,1.0,5.0,0.0
1,2,1,5,1,5.0,7,2.0,481876.5481,5876723.07,1,0,12,1,24,50,1.0,4.0,1.0
3,2,1,5,1,5.0,6,1.0,487187.2613,5875754.416,7,0,11,5,27,26,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,493470.562,5880240.646000002,2,0,11,4,23,48,2.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,486754.2028,5881129.168,3,0,11,3,53,38,2.0,3.0,0.0
1,0,0,5,1,5.0,5,2.0,488723.6919,5882513.249,6,0,11,4,91,29,1.0,5.0,0.0
3,2,0,5,1,5.0,6,1.0,497498.8905,5878408.317000002,5,1,12,5,29,33,2.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,491306.70700000005,5879392.4739999985,3,0,1,4,84,54,2.0,5.0,0.0
3,0,0,5,1,5.0,6,2.0,482560.7771,5877989.488,2,1,1,4,21,21,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,487317.0021,5881396.836,5,0,5,4,57,42,2.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,485929.2034,5880258.9920000015,6,0,1,4,74,29,1.0,5.0,0.0
0,2,2,1,1,5.0,7,1.0,475185.7931,5891465.3160000015,7,0,1,5,49,45,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,485942.6506,5880260.047,6,0,2,4,42,66,1.0,5.0,0.0
5,2,1,5,1,5.0,3,2.0,474103.2237,5892845.589,2,1,1,2,45,24,2.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,482467.4147,5877559.697000002,5,0,1,4,53,37,2.0,5.0,0.0
5,0,1,5,1,5.0,3,1.0,480601.2052,5882816.91,3,0,12,4,49,25,1.0,3.0,0.0
2,0,1,5,1,5.0,7,2.0,482591.6863,5878031.66,2,1,1,2,20,55,2.0,5.0,0.0
7,2,2,4,1,5.0,7,2.0,492191.2168,5884596.472999998,3,0,1,1,54,45,1.0,5.0,0.0
2,2,1,5,1,2.0,6,1.0,486308.9258,5883150.025,5,0,1,5,35,66,1.0,5.0,0.0
9,0,1,3,2,1.0,1,1.0,490877.7279,5875767.64,6,0,1,5,71,45,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,482492.537,5878477.082,4,0,4,4,42,40,1.0,5.0,0.0
5,0,0,5,1,5.0,2,2.0,474506.8234,5891730.99,7,0,2,3,53,76,2.0,5.0,0.0
3,2,0,5,1,5.0,6,1.0,488876.3663,5880884.634,2,0,12,6,50,58,1.0,5.0,0.0
1,2,0,5,1,5.0,5,2.0,473995.0983,5891847.5589999985,2,0,1,1,22,61,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,487210.1167,5881488.517999998,6,0,1,4,63,45,1.0,5.0,0.0
1,0,2,5,1,5.0,6,1.0,486839.1707,5880335.507,7,0,1,3,55,68,1.0,5.0,0.0
0,0,0,5,1,5.0,1,1.0,488399.4406,5880384.235,3,0,3,3,66,45,1.0,3.0,0.0
3,0,0,5,1,2.0,6,1.0,486016.8813,5881296.981000002,6,0,3,3,40,27,1.0,5.0,0.0
5,0,0,5,2,1.0,3,1.0,490712.0527,5884841.9410000015,4,0,3,4,63,40,1.0,5.0,0.0
2,0,1,5,1,2.0,6,1.0,487748.448,5877711.774,4,0,3,4,66,60,1.0,5.0,0.0
3,1,1,5,2,1.0,6,1.0,490228.7641,5875314.1910000015,6,0,3,5,48,42,2.0,5.0,0.0
3,2,0,5,1,5.0,6,1.0,486719.9671,5883866.337,4,0,3,5,60,41,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,484381.1672,5881660.323,4,0,3,2,51,25,2.0,5.0,0.0
2,0,0,5,1,5.0,7,1.0,485737.8294,5880675.102000001,2,0,9,4,54,27,1.0,5.0,0.0
0,0,0,4,1,5.0,7,1.0,492730.5232,5879057.533,3,0,3,2,39,64,1.0,5.0,0.0
5,0,1,5,1,5.0,3,2.0,490204.0241,5881451.209,6,0,2,4,88,46,1.0,5.0,0.0
1,0,1,5,1,5.0,7,2.0,493252.3788,5885717.437999999,6,0,3,3,80,32,2.0,5.0,0.0
1,2,1,5,1,5.0,5,1.0,480503.0558,5891968.756,5,0,3,5,57,52,1.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,491942.8622,5876435.537000001,4,0,2,5,56,35,1.0,5.0,0.0
3,2,1,5,1,5.0,6,1.0,486149.4034,5882613.392000001,4,0,2,5,20,25,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,491059.3521,5881413.86,6,0,3,2,55,39,1.0,5.0,0.0
3,0,1,5,1,2.0,6,1.0,485239.2365,5879921.232000002,4,0,2,2,32,42,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,490938.1215,5880169.571,4,0,3,2,58,36,1.0,5.0,0.0
1,1,0,5,1,5.0,5,1.0,484820.7553,5882872.581,6,0,2,2,54,55,1.0,5.0,0.0
3,0,1,5,1,5.0,6,2.0,490213.8991,5881450.051,5,0,3,3,20,53,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,487071.917,5883085.312999999,3,0,3,4,74,76,1.0,5.0,0.0
4,0,0,5,1,5.0,6,1.0,494384.6026,5883528.249,4,0,3,2,41,42,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,487661.6846,5877751.097,3,0,3,5,69,40,1.0,5.0,0.0
0,0,0,1,1,5.0,7,1.0,484727.8249,5882814.554,5,0,2,3,29,45,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,487142.2755,5880353.914,5,0,3,3,28,56,2.0,5.0,0.0
7,2,0,4,1,2.0,7,1.0,490289.6013,5875951.828,6,0,2,2,47,45,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,482522.8573,5877696.833,2,0,3,2,47,39,1.0,5.0,0.0
1,2,1,5,1,5.0,7,2.0,485292.1628,5882113.502,2,0,2,5,55,59,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,482481.8141,5878490.908,5,0,2,6,56,43,1.0,5.0,0.0
2,2,0,5,1,2.0,6,1.0,490424.3407,5875723.017999998,2,0,2,5,40,53,1.0,3.0,0.0
3,0,0,5,1,2.0,6,2.0,486938.3459,5884431.481000002,5,1,4,4,27,19,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,497290.545,5877564.481000002,7,0,4,4,43,23,2.0,5.0,0.0
6,0,0,5,1,5.0,4,1.0,497544.7245,5879583.402000002,4,0,4,5,41,18,1.0,3.0,0.0
3,0,0,5,1,2.0,6,1.0,487365.4003,5884987.571,4,1,4,5,62,49,1.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,486548.9075,5883627.511,3,0,3,5,20,54,1.0,5.0,0.0
1,2,0,5,1,5.0,5,2.0,485728.1092,5883466.442000002,7,0,5,3,71,54,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,486202.1547,5880575.338,6,0,4,4,48,25,2.0,5.0,0.0
2,0,0,5,1,2.0,6,1.0,486515.6725,5883564.234,4,0,3,4,33,31,1.0,5.0,0.0
2,0,0,5,1,2.0,6,1.0,486298.3898,5883036.296,2,0,4,4,20,32,1.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,486078.12,5882753.879,6,0,4,4,39,65,1.0,5.0,0.0
3,2,0,5,1,5.0,6,2.0,488232.3384,5881010.705,6,1,4,1,24,30,1.0,5.0,0.0
3,0,0,5,2,1.0,6,1.0,490619.529,5875389.882,6,0,3,4,29,47,2.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,490320.1166,5880528.35,3,0,3,5,22,25,2.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,481152.2526,5877969.116,3,0,3,2,29,69,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,474497.9953,5893618.681,7,0,3,3,51,53,2.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,488161.2484,5880380.705,7,0,2,4,78,34,1.0,5.0,0.0
0,0,0,5,1,5.0,7,2.0,484889.3093,5879217.086,4,0,3,5,85,45,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,492905.8556,5877916.531,5,0,5,5,52,31,2.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,495233.4181,5876553.722999998,6,1,4,4,64,25,1.0,3.0,0.0
1,0,1,5,1,5.0,7,1.0,484820.9568,5882865.641,1,1,4,5,35,24,1.0,5.0,0.0
5,0,1,5,2,1.0,3,2.0,490829.5104,5875696.052999998,2,0,5,2,62,62,1.0,5.0,0.0
1,2,0,5,1,5.0,5,1.0,496083.0787,5878769.614,7,0,3,6,60,25,1.0,5.0,0.0
3,0,1,5,1,2.0,6,1.0,486300.9973,5883170.389,3,0,5,5,48,24,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,488061.1892,5879978.771000002,5,1,6,3,25,36,2.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,491386.7026,5879661.986000001,3,0,5,3,33,43,1.0,5.0,0.0
3,0,0,3,2,1.0,6,1.0,485231.4611,5879911.877,5,0,4,5,53,59,1.0,5.0,0.0
2,0,0,5,1,2.0,6,1.0,486369.3834,5881873.4010000015,6,0,3,5,81,43,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,487365.2333,5880266.576,6,0,3,5,54,40,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,486883.4933,5880348.794,6,0,3,4,56,38,1.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,487773.1105,5877720.465,3,0,4,4,49,47,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,487596.1704,5883583.917,3,0,5,4,33,31,1.0,5.0,0.0
1,2,1,5,2,1.0,7,2.0,490331.6124,5885016.028,7,0,5,6,24,29,1.0,3.0,0.0
3,1,1,5,1,5.0,6,1.0,493299.9415,5885807.619,7,0,5,6,55,83,1.0,5.0,0.0
9,2,1,0,1,5.0,1,1.0,486997.681,5883442.812000001,6,0,12,5,29,46,1.0,2.0,1.0
0,0,0,5,1,5.0,7,1.0,484568.8842,5881466.607999999,7,0,6,4,52,45,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,483639.6467,5885543.375,2,0,5,3,76,50,2.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,485899.7965,5883103.3670000015,2,0,6,4,50,45,1.0,5.0,0.0
0,2,1,4,1,5.0,7,1.0,493848.7887,5880205.25,7,0,5,1,28,45,1.0,4.0,1.0
1,0,0,5,1,5.0,2,2.0,487173.5907,5882083.379,5,0,6,3,72,36,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,486423.0704,5881275.156,6,0,6,4,76,45,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,492694.4072,5881462.275,7,0,6,4,74,48,1.0,3.0,0.0
2,0,1,5,1,5.0,6,1.0,495219.1723,5881968.048,3,0,5,6,36,46,1.0,5.0,0.0
5,0,0,5,1,5.0,2,1.0,485808.8997,5880799.022999999,2,0,6,2,51,76,1.0,3.0,0.0
5,0,0,5,1,5.0,3,2.0,479860.4374,5881660.793,7,0,6,6,77,56,1.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,486917.2868,5878147.961,5,1,6,5,19,49,1.0,5.0,0.0
3,0,0,5,2,1.0,6,2.0,491452.0815,5876149.95,5,0,4,4,44,45,1.0,5.0,0.0
2,2,0,5,1,5.0,6,1.0,492923.1197,5878020.826,1,0,5,6,52,38,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,471444.7096,5893019.207,6,0,5,2,57,45,2.0,5.0,0.0
4,0,0,5,1,5.0,6,2.0,476910.9912,5890555.105,3,0,5,5,44,58,1.0,3.0,0.0
2,0,0,5,1,5.0,6,1.0,490237.4296,5880637.789,5,0,6,4,36,46,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,486123.9661,5881488.927999998,4,0,6,4,47,52,1.0,5.0,0.0
1,1,1,5,1,2.0,5,2.0,487541.3454,5876684.203,2,0,2,5,20,44,1.0,5.0,0.0
2,0,0,3,1,2.0,6,1.0,485230.6128,5879949.813999998,6,0,5,2,35,44,1.0,5.0,0.0
5,0,0,5,1,5.0,3,2.0,483650.8067,5885527.335,3,0,12,4,53,18,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,492481.6504,5876129.909,5,0,6,5,30,40,1.0,5.0,0.0
3,0,0,5,2,5.0,6,1.0,492429.9282,5876500.58,3,0,6,4,51,35,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,492861.3805,5878984.116,3,0,6,6,36,77,1.0,5.0,0.0
3,2,0,5,1,5.0,6,1.0,492158.5776,5880565.011,6,1,6,6,41,46,1.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,474791.3765,5891110.318,1,0,5,5,32,64,2.0,5.0,0.0
0,0,0,4,1,5.0,7,1.0,486865.4957,5881761.017000001,6,0,5,5,61,45,1.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,479726.9283,5891663.181,3,0,5,5,30,29,2.0,5.0,0.0
2,0,0,5,2,1.0,7,1.0,491155.4748,5875962.429,1,1,7,4,47,59,1.0,3.0,0.0
0,0,0,5,1,5.0,6,1.0,495796.1934,5882387.984,1,0,8,5,51,42,1.0,5.0,0.0
5,0,0,5,2,5.0,7,1.0,491686.3932,5885176.896000002,2,1,7,4,67,54,2.0,4.0,1.0
5,0,1,5,1,5.0,2,1.0,486402.0441,5881925.8,5,1,8,2,36,57,2.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,495968.4682,5878778.845,4,1,7,4,84,51,2.0,3.0,0.0
1,0,0,5,1,5.0,7,2.0,493242.9753,5886387.656,5,1,7,4,60,24,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,487360.0137,5881218.765,4,1,8,5,40,42,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,482616.7013,5878168.985,2,0,6,2,58,60,1.0,5.0,0.0
2,0,0,5,2,2.0,6,1.0,485896.4139,5881037.892000001,4,0,8,5,51,27,2.0,3.0,0.0
1,0,1,5,1,5.0,5,2.0,487400.4167,5880383.67,2,1,7,4,38,44,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,488907.0789,5881391.512,3,0,6,2,79,51,1.0,5.0,0.0
3,0,1,5,2,2.0,6,2.0,487362.8999,5884941.256,2,1,7,3,54,23,2.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,492793.2468,5882482.36,3,1,6,2,20,50,1.0,3.0,0.0
5,0,0,5,1,5.0,3,1.0,485450.1964,5878428.495,4,1,7,5,38,27,2.0,5.0,0.0
3,0,0,5,2,2.0,6,2.0,481115.8841,5892413.944,7,1,7,4,72,74,1.0,5.0,0.0
3,0,0,5,1,5.0,7,1.0,487814.6366,5877512.431,3,1,7,2,68,49,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,486127.2931,5882694.195,5,1,7,3,79,55,1.0,5.0,0.0
2,0,0,5,1,5.0,5,1.0,485292.6286,5884024.969,3,0,6,4,30,31,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,490690.3455,5880273.962,2,0,8,2,40,52,2.0,5.0,0.0
1,0,0,5,1,5.0,7,2.0,471067.1908,5892592.815,2,1,7,3,42,71,1.0,5.0,0.0
3,0,1,5,1,5.0,6,1.0,486192.4215,5881713.929,5,1,6,5,49,52,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,482643.2013,5878154.708,5,1,6,4,33,54,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,486004.0692,5881868.975,3,1,6,2,49,51,1.0,5.0,0.0
0,0,0,5,1,5.0,7,1.0,482559.5129,5877891.799,3,0,6,5,39,45,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,494820.3233,5878886.392999998,4,1,7,4,59,34,2.0,3.0,0.0
2,0,0,5,2,1.0,6,1.0,490385.2117,5875403.744,2,1,6,2,58,38,1.0,5.0,0.0
5,0,1,5,2,1.0,3,2.0,492369.0086,5876741.071,3,1,7,5,60,35,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,476392.4726,5891629.636,6,0,8,5,42,56,1.0,5.0,0.0
3,0,0,5,1,5.0,2,1.0,486571.0528,5878399.493,2,0,9,3,52,60,1.0,5.0,0.0
0,0,0,5,1,5.0,7,2.0,474619.116,5892595.245,5,0,9,4,44,45,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,482524.0618,5877701.427,2,0,8,4,43,46,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,486517.9002,5878466.222999998,5,0,8,4,36,26,1.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,492223.9176,5876532.87,3,0,8,4,20,26,1.0,3.0,0.0
1,0,0,5,1,5.0,5,2.0,483898.6989,5882102.899,2,0,8,2,21,34,1.0,5.0,0.0
5,0,0,4,1,5.0,3,1.0,493173.9273,5877149.5079999985,3,0,8,5,20,41,1.0,3.0,0.0
1,0,1,5,1,5.0,7,1.0,492477.1767,5880006.39,7,0,9,3,75,29,1.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,486196.0117,5882672.143999998,3,1,8,5,35,41,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,490558.535,5882230.603999998,5,0,8,3,75,56,1.0,5.0,0.0
3,0,0,5,1,2.0,6,1.0,486970.1193,5884462.219,4,0,8,5,37,25,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,487195.6702,5877999.99,4,1,8,4,21,63,1.0,3.0,0.0
5,0,0,5,2,1.0,3,1.0,490108.1122,5875233.735,2,0,8,5,23,31,1.0,5.0,0.0
5,0,0,5,1,5.0,2,2.0,475161.2988,5891091.962,6,0,8,5,29,11,1.0,2.0,1.0
8,0,1,4,2,1.0,1,1.0,487679.0193,5885276.425,7,0,8,5,19,45,1.0,5.0,0.0
3,0,1,5,1,5.0,6,2.0,488832.6838,5881373.874,2,0,9,4,73,72,2.0,5.0,0.0
5,0,1,5,1,5.0,3,1.0,486475.997,5882365.212,3,0,2,5,70,57,1.0,5.0,0.0
1,0,0,5,1,5.0,5,2.0,486504.9056,5881806.105,2,0,8,2,23,29,2.0,5.0,0.0
5,1,0,5,1,5.0,2,1.0,485912.757,5880731.924,3,0,8,6,27,32,1.0,5.0,0.0
1,0,0,5,1,5.0,7,1.0,479266.7678,5891151.577000001,2,0,8,5,65,65,2.0,5.0,0.0
0,1,0,5,2,1.0,7,2.0,479272.9002,5891615.393999998,5,0,8,5,30,45,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,488528.5531,5876097.942000002,4,0,8,3,37,30,1.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,480910.4329,5887413.413,5,0,8,2,43,21,2.0,3.0,0.0
3,0,0,5,1,5.0,6,1.0,493409.5111,5878889.03,4,0,9,4,56,42,1.0,5.0,0.0
5,0,0,5,1,5.0,3,1.0,481485.3766,5877149.216,3,0,9,4,35,28,1.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,487551.6046,5878427.625,4,0,9,3,26,37,1.0,5.0,0.0
1,0,0,5,1,5.0,5,1.0,483902.0034,5885182.679,7,0,9,5,19,38,1.0,5.0,0.0
3,0,0,5,1,5.0,2,1.0,485808.8692,5880798.938999998,5,0,9,3,73,33,1.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,487929.9362,5874937.642000001,5,0,9,4,51,76,1.0,5.0,0.0
5,0,0,5,1,5.0,2,1.0,490110.1441,5880474.234,2,0,5,5,51,45,1.0,3.0,0.0
1,0,0,5,1,5.0,7,1.0,483676.5186,5885490.384,6,0,8,5,73,58,1.0,5.0,0.0
8,2,0,3,2,1.0,1,1.0,487388.7933,5885280.179,2,1,7,1,25,44,1.0,5.0,0.0
1,0,1,5,1,5.0,6,1.0,486009.4151,5882483.317000002,5,1,8,2,77,25,1.0,3.0,0.0
9,1,1,4,1,5.0,1,1.0,494541.3845,5876582.47,3,0,8,6,26,45,1.0,5.0,0.0
3,0,0,5,2,2.0,6,1.0,485922.7207,5881096.765,5,0,8,5,38,33,1.0,5.0,0.0
0,0,0,5,1,5.0,6,1.0,471445.1742,5893100.6170000015,6,0,9,4,29,23,2.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,487636.0187,5881116.641,6,0,10,4,32,26,1.0,5.0,0.0
3,0,0,5,1,5.0,6,1.0,486724.3895,5880257.972999998,2,0,9,4,38,45,1.0,5.0,0.0
2,0,0,5,1,2.0,6,2.0,487203.4199,5875787.18,4,1,10,2,44,27,1.0,5.0,0.0
2,2,1,5,1,5.0,6,1.0,486070.1627,5882769.395,5,1,10,6,21,70,1.0,5.0,0.0
0,0,1,5,1,5.0,7,1.0,474957.1147,5892790.368,6,0,10,4,40,63,2.0,5.0,0.0
2,0,0,5,1,5.0,6,2.0,493453.5443,5881426.251,3,0,9,3,23,29,2.0,5.0,0.0
0,0,0,5,1,5.0,7,1.0,475649.8787,5891363.865,6,0,9,5,53,45,1.0,5.0,0.0
4,0,0,5,1,5.0,6,1.0,497591.5498,5879145.557,6,0,9,5,61,63,1.0,3.0,0.0
0,2,0,5,2,2.0,7,1.0,490567.1391,5875442.707,3,0,10,6,51,45,1.0,5.0,0.0
3,0,0,5,2,2.0,6,1.0,487162.7128,5884639.357999999,6,0,9,4,32,48,1.0,5.0,0.0
3,2,1,5,1,2.0,6,2.0,487854.603,5877579.472,6,0,10,5,29,21,1.0,5.0,0.0
0,0,0,5,1,5.0,7,2.0,497070.2346,5879663.024,5,0,3,5,11,44,1.0,3.0,0.0
2,0,0,3,2,1.0,6,1.0,491473.5949,5884264.143999998,3,1,10,4,46,53,1.0,3.0,0.0
0,0,0,5,1,5.0,7,1.0,487106.2357,5882788.785,2,0,9,2,80,45,1.0,5.0,0.0
2,1,1,5,1,5.0,6,1.0,484639.3507,5882631.221,2,0,10,5,47,22,2.0,3.0,0.0
1,0,0,5,1,5.0,7,1.0,490288.6578,5881175.142999998,2,1,10,3,75,50,1.0,5.0,0.0
2,0,0,5,1,5.0,6,1.0,486479.1145,5878517.057999998,4,0,10,3,60,81,2.0,5.0,0.0
2,0,1,5,1,5.0,6,1.0,487878.2126,5877632.115,1,1,10,3,33,24,2.0,5.0,0.0
5,2,1,5,1,5.0,7,1.0,483106.3969,5886313.57,7,1,10,6,24,42,2.0,3.0,0.0
3,2,1,5,1,5.0,6,2.0,488014.2365,5880936.534,3,1,10,5,34,25,2.0,5.0,0.0
2,0,1,5,1,2.0,6,1.0,493153.445,5878870.26,4,0,10,5,44,36,1.0,5.0,0.0
3,0,1,5,1,5.0,6,2.0,486258.6742,5882930.589,5,0,9,4,27,35,1.0,5.0,0.0
4,0,0,5,1,5.0,6,1.0,473345.4879,5892893.873,5,0,9,4,36,78,1.0,2.0,1.0
0,0,0,0,1,5.0,7,1.0,487395.6038,5881892.864,3,0,9,1,65,45,1.0,5.0,0.0
2,0,0,5,2,1.0,6,1.0,492358.3267,5876548.637,6,0,9,5,49,35,1.0,5.0,0.0
2,0,0,4,1,5.0,6,1.0,480144.6497,5883278.93,6,0,9,4,32,27,1.0,3.0,0.0
2,0,1,5,1,2.0,6,2.0,483971.323,5878922.592,2,0,10,4,20,39,1.0,3.0,0.0
3,0,0,5,1,5.0,6,1.0,487716.0715,5881048.937000001,1,0,10,5,50,61,1.0,5.0,0.0
