OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,Hour,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,Longitude,Latitude
3206,2,4,13,432,2018,5,12,7,3,2,6,0,0,1,0,0,0,1,0,566549.8526,5944872.456,10.00681056,53.64838096
3207,2,1,13,131,2018,5,17,3,3,5,2,0,1,0,0,0,0,1,0,571197.5018,5932138.415,10.07420353,53.53332895
3208,2,1,6,116,2018,5,19,3,3,1,6,0,0,1,0,0,0,0,0,567436.6371,5933898.749,10.01785045,53.54964561
3209,2,1,13,131,2018,5,17,4,3,5,7,0,0,1,0,0,0,0,0,571467.093,5931803.575,10.07819379,53.53028312
3210,2,5,2,508,2018,5,8,5,3,2,6,0,0,1,0,0,0,0,0,571730.9363,5936990.569,10.08336366,53.57686261
3211,2,7,13,714,2018,5,7,5,3,3,2,0,1,0,0,0,0,1,0,558059.0729,5925726.629,9.87481633,53.47731857
3212,2,4,13,432,2018,5,17,5,3,6,6,0,0,0,1,0,0,1,0,565906.35,5945564.033,9.997223513,53.65467768
3213,2,1,14,132,2018,5,16,3,3,2,6,0,0,1,0,0,1,0,0,568847.4892,5932965.503,10.03893582,53.54107531
3214,2,3,9,321,2018,5,12,3,2,5,3,0,0,1,0,0,0,1,0,561490.0517,5939994.373,9.929310332,53.60515935
3215,2,1,8,121,2018,5,14,3,3,0,7,0,1,0,0,0,0,0,0,569200.8947,5934781.538,10.04466977,53.55734976
3216,2,2,10,222,2018,5,12,2,3,8,7,0,0,1,0,0,0,0,0,555008.38,5934617.29,9.830415891,53.5575528
3217,2,5,6,514,2018,5,15,3,3,5,3,0,1,0,0,0,0,0,0,574069.1617,5940095.496,10.11940825,53.60444106
3218,2,5,17,525,2018,6,8,6,3,5,3,0,0,1,0,0,0,0,0,577167.5539,5945999.025,10.16768782,53.65704666
3219,2,5,3,510,2018,5,23,6,3,5,5,2,0,1,0,0,0,0,0,570325.1586,5936294.669,10.06197929,53.5707989
3220,2,5,6,514,2018,5,11,3,2,2,6,0,0,1,0,0,0,1,0,574024.0744,5940343.52,10.1187859,53.60667638
3221,2,5,4,512,2018,5,9,3,2,3,2,0,0,0,0,1,0,1,0,573081.3112,5936838.209,10.1037188,53.57530696
3222,2,5,6,514,2018,5,5,3,2,4,2,0,0,1,0,0,0,0,0,573223.7723,5940242.276,10.10666899,53.60587896
